Sweep	Chain_l	Chain_r
5001	1	2
5002	1	2
5005	1	1
5006	1	1
5008	1	1
5013	1	2
5014	1	1
5015	1	1
5017	1	1
5018	1	1
5021	2	3
5025	1	2
5026	1	2
5028	1	1
5030	1	1
5032	1	1
5033	2	3
5034	1	1
5037	1	2
5039	1	1
5042	1	1
5048	1	1
5052	2	3
5053	1	2
5054	1	2
5060	1	1
5061	1	1
5062	2	3
5063	1	1
5066	1	1
5067	1	1
5068	2	3
5069	2	3
5071	1	1
5073	1	1
5076	1	1
5085	2	3
5087	2	3
5088	1	2
5090	1	2
5092	1	3
5093	1	1
5094	1	1
5099	1	1
5100	1	1
5101	1	1
5102	1	2
5103	1	1
5105	1	1
5106	1	2
5109	1	2
5111	2	3
5112	1	1
5114	1	2
5115	1	2
5116	1	1
5117	1	1
5118	1	1
5121	1	1
5126	1	1
5127	1	1
5128	1	1
5129	1	1
5130	1	1
5132	1	1
5134	1	1
5135	1	1
5138	1	1
5139	1	2
5141	1	2
5143	1	1
5145	1	1
5146	1	1
5147	1	1
5148	1	1
5150	1	1
5151	1	1
5152	1	2
5155	1	1
5157	1	1
5159	1	1
5160	1	2
5161	1	2
5163	2	3
5165	1	1
5166	1	2
5168	1	1
5170	1	1
5171	1	1
5172	1	2
5174	1	1
5175	1	1
5182	2	3
5186	1	2
5190	1	1
5191	1	1
5192	1	1
5193	1	1
5196	1	1
5197	1	2
5199	1	2
5201	1	2
5203	1	1
5204	1	1
5206	1	1
5208	2	3
5209	1	1
5211	2	3
5215	2	3
5216	1	1
5219	2	3
5220	1	1
5224	1	1
5225	1	1
5226	2	3
5228	2	3
5231	2	3
5232	1	3
5233	1	1
5235	1	1
5237	1	1
5241	1	1
5248	1	1
5249	1	2
5251	1	1
5254	1	1
5260	1	1
5261	1	1
5265	1	1
5269	1	1
5270	1	1
5271	1	1
5273	1	2
5277	1	1
5280	1	1
5282	1	2
5285	1	1
5288	1	1
5290	1	1
5297	1	1
5298	1	1
5303	2	3
5304	1	1
5305	1	1
5306	2	3
5307	1	2
5309	2	3
5310	2	3
5313	1	1
5314	1	1
5315	1	1
5317	1	1
5318	1	1
5320	1	1
5321	1	2
5323	1	1
5326	1	1
5327	1	2
5328	1	1
5330	1	1
5331	1	1
5332	1	1
5333	1	2
5335	1	1
5337	1	1
5338	1	1
5341	1	1
5345	1	1
5347	1	1
5352	1	1
5354	1	1
5355	2	3
5357	2	3
5358	1	2
5359	2	3
5361	2	3
5362	1	1
5363	1	1
5364	1	1
5366	1	1
5367	1	1
5369	1	1
5370	1	1
5371	1	1
5373	1	1
5374	1	1
5375	1	1
5377	1	2
5379	1	1
5381	1	1
5383	2	3
5385	1	2
5386	1	1
5387	1	2
5388	1	1
5391	1	1
5392	1	2
5393	1	2
5394	1	1
5396	1	2
5397	1	1
5398	1	1
5399	1	1
5400	2	3
5401	1	1
5404	2	3
5413	2	3
5414	2	3
5415	1	1
5422	2	3
5425	1	1
5426	2	3
5428	1	1
5429	1	1
5430	1	1
5431	1	1
5432	1	2
5436	1	3
5438	1	1
5440	1	1
5443	2	3
5444	1	1
5445	1	1
5446	1	1
5449	2	3
5453	2	3
5454	1	1
5456	1	1
5458	1	3
5460	1	1
5461	1	1
5463	1	1
5466	2	3
5467	1	1
5468	2	3
5469	1	1
5471	1	1
5473	2	3
5475	1	1
5477	1	2
5478	1	1
5480	1	1
5481	1	1
5482	1	1
5483	1	1
5486	1	1
5488	1	2
5490	1	2
5491	2	3
5494	1	1
5495	1	1
5496	1	1
5497	1	1
5498	1	1
5499	1	2
5500	1	2
5501	1	2
5502	1	1
5503	2	3
5504	2	3
5506	2	3
5507	1	1
5510	2	3
5511	1	2
5514	2	3
5515	1	1
5517	1	1
5518	1	1
5526	1	1
5531	2	3
5535	1	1
5536	1	2
5538	2	3
5539	1	1
5540	2	3
5542	1	1
5543	1	1
5544	1	1
5546	1	1
5547	1	1
5549	1	2
5550	1	2
5551	1	1
5553	1	1
5555	2	3
5558	1	1
5562	1	1
5564	2	3
5565	1	1
5566	1	1
5567	1	2
5568	1	1
5569	2	3
5571	1	1
5575	1	1
5576	1	1
5577	1	1
5578	1	2
5579	1	2
5580	1	2
5581	1	1
5583	1	1
5584	1	1
5585	1	1
5586	2	3
5592	1	1
5594	1	1
5595	1	1
5596	1	1
5598	1	1
5599	1	1
5601	1	2
5604	2	3
5608	1	1
5609	1	1
5611	1	1
5615	1	1
5616	1	2
5617	2	3
5620	1	2
5626	1	1
5627	1	1
5628	1	1
5629	1	1
5631	1	1
5633	1	2
5639	1	2
5641	2	3
5643	1	1
5644	1	1
5645	2	3
5651	1	1
5652	1	1
5653	1	1
5654	2	3
5655	2	3
5658	1	1
5659	1	1
5660	1	1
5661	1	1
5667	2	3
5670	1	1
5672	1	2
5673	1	1
5675	1	1
5676	1	2
5685	1	1
5689	2	3
5692	1	1
5694	1	1
5695	1	1
5696	1	1
5698	1	1
5702	1	1
5703	1	1
5704	1	1
5705	1	1
5706	1	1
5707	1	1
5708	1	1
5710	1	1
5713	2	3
5719	1	1
5727	1	1
5728	1	1
5730	1	2
5731	1	1
5732	1	1
5733	1	2
5734	1	1
5737	1	1
5739	1	1
5740	1	2
5741	1	1
5743	1	1
5749	1	1
5750	1	1
5752	1	2
5754	1	1
5755	1	1
5756	1	1
5762	1	1
5763	1	1
5766	1	1
5770	1	1
5771	2	3
5772	1	1
5775	1	1
5777	1	1
5778	1	1
5785	1	1
5786	1	2
5787	1	2
5789	2	3
5794	2	3
5798	1	1
5799	1	2
5803	1	2
5804	1	1
5805	1	2
5807	1	1
5809	1	1
5810	1	1
5811	1	1
5812	2	3
5814	1	1
5816	1	1
5817	2	3
5818	2	3
5819	1	1
5820	1	1
5821	1	1
5822	1	1
5823	1	1
5825	2	3
5826	1	3
5827	2	3
5828	1	1
5829	1	1
5830	1	1
5832	1	1
5835	1	1
5836	1	1
5838	1	1
5839	1	1
5841	1	1
5842	1	2
5848	1	1
5849	1	1
5850	1	1
5853	1	1
5856	1	1
5862	1	1
5863	1	1
5864	1	1
5865	1	1
5867	1	1
5868	1	1
5869	1	1
5870	1	1
5875	1	1
5878	1	1
5879	1	2
5880	1	2
5881	1	1
5882	1	1
5883	1	1
5884	1	1
5886	1	1
5888	2	3
5890	1	1
5891	1	1
5894	2	3
5895	1	1
5897	2	3
5898	1	1
5899	1	2
5900	1	1
5902	1	1
5906	1	1
5911	1	1
5912	1	1
5914	1	1
5915	1	1
5916	2	3
5918	1	2
5924	1	1
5926	2	3
5928	1	1
5929	1	1
5930	1	1
5933	1	1
5934	1	2
5942	1	1
5943	2	3
5944	2	3
5945	1	1
5946	1	1
5952	1	1
5955	1	1
5958	2	3
5961	2	3
5963	2	3
5965	1	1
5966	2	3
5967	1	2
5968	1	2
5969	2	3
5970	1	1
5971	1	1
5972	1	1
5973	1	1
5975	1	1
5977	2	3
5981	1	1
5983	1	1
5984	1	1
5986	1	1
5987	1	1
5990	2	3
5991	1	1
5992	1	1
5996	1	1
5999	1	1
6002	1	2
6003	1	1
6004	1	1
6005	2	3
6007	1	1
6008	1	1
6014	1	1
6018	2	3
6021	1	1
6022	1	1
6023	2	3
6024	1	1
6028	1	1
6032	2	3
6035	1	1
6038	2	3
6042	1	1
6043	1	2
6044	1	2
6045	1	2
6046	1	1
6048	1	1
6051	1	1
6052	1	1
6054	1	1
6055	1	1
6058	1	2
6060	1	1
6062	1	1
6064	1	2
6066	2	3
6070	2	3
6071	1	1
6072	1	2
6075	1	1
6076	1	1
6077	1	1
6079	1	1
6085	1	2
6090	1	1
6091	1	1
6092	1	1
6095	2	3
6096	2	3
6097	2	3
6098	1	1
6099	2	3
6103	1	1
6105	1	1
6106	1	1
6107	1	1
6111	1	1
6113	2	3
6116	2	3
6123	1	1
6130	1	1
6131	2	3
6132	1	1
6133	2	3
6134	2	3
6135	1	2
6137	1	2
6138	1	2
6143	1	1
6144	1	1
6146	1	1
6148	1	1
6149	2	3
6150	2	3
6152	2	3
6154	2	3
6156	1	2
6157	1	1
6159	1	1
6162	1	1
6165	1	1
6166	1	1
6167	1	1
6168	1	2
6169	1	2
6171	1	1
6174	1	1
6177	1	1
6181	1	2
6183	2	3
6186	1	1
6188	2	3
6189	1	1
6194	1	2
6195	1	2
6198	1	1
6199	1	1
6201	1	1
6202	2	3
6204	1	2
6206	1	1
6207	1	1
6208	1	1
6211	1	1
6216	1	1
6219	1	1
6221	1	2
6222	1	1
6223	1	2
6225	2	3
6226	1	1
6230	2	3
6231	2	3
6232	1	2
6233	2	3
6236	1	1
6238	1	1
6239	1	2
6248	1	1
6255	1	2
6256	1	1
6257	1	2
6258	1	2
6260	1	1
6266	1	2
6267	1	2
6270	1	2
6271	1	1
6272	1	1
6273	1	2
6274	1	1
6277	1	1
6278	2	3
6279	2	3
6284	1	2
6285	1	1
6288	1	1
6289	1	1
6290	1	1
6291	2	3
6292	1	1
6293	1	1
6294	1	1
6295	1	1
6304	1	1
6306	2	3
6311	1	1
6313	1	1
6315	1	1
6319	1	1
6321	1	1
6325	1	2
6327	1	2
6329	1	2
6330	1	1
6336	1	2
6340	1	2
6341	1	2
6342	1	1
6343	1	1
6348	1	1
6349	2	3
6350	1	1
6351	2	3
6352	1	1
6353	1	1
6354	1	1
6355	1	1
6357	1	1
6359	1	1
6362	1	1
6363	1	1
6364	1	2
6365	1	1
6366	2	3
6367	2	3
6369	1	1
6370	1	1
6371	1	2
6374	1	1
6376	1	1
6378	1	1
6380	1	1
6382	1	1
6384	1	1
6385	1	2
6386	1	1
6394	2	3
6395	1	1
6396	1	2
6397	1	1
6398	2	3
6400	1	1
6401	1	1
6403	2	3
6405	1	1
6406	2	3
6411	2	3
6415	2	3
6417	1	1
6421	1	2
6426	1	2
6428	1	1
6433	1	3
6440	1	2
6442	1	2
6446	1	1
6453	1	1
6455	1	2
6456	1	1
6458	1	2
6460	1	1
6461	1	1
6462	1	1
6463	1	1
6464	1	2
6466	1	2
6467	2	3
6470	1	2
6471	1	2
6472	1	1
6473	1	1
6474	1	1
6476	1	1
6478	1	2
6479	1	2
6481	2	3
6482	1	1
6485	1	1
6487	1	1
6489	1	1
6490	1	1
6491	1	1
6493	1	1
6494	1	1
6495	1	1
6496	1	1
6497	1	2
6498	1	1
6499	1	1
6504	1	1
6506	1	1
6507	1	1
6513	1	2
6514	1	1
6517	1	1
6518	1	2
6520	1	1
6521	1	1
6523	1	1
6524	1	1
6525	1	1
6529	2	3
6530	1	2
6531	1	1
6533	1	1
6534	1	1
6535	1	2
6540	2	3
6541	2	3
6549	1	1
6550	1	1
6551	1	1
6553	1	1
6554	1	3
6555	1	1
6556	1	1
6559	1	1
6563	1	1
6565	1	1
6567	1	2
6569	1	2
6570	1	1
6573	1	1
6577	2	3
6579	1	2
6583	1	1
6584	1	1
6586	1	1
6587	1	1
6589	1	1
6590	1	1
6591	1	1
6592	1	1
6593	2	3
6595	1	2
6597	2	3
6599	2	3
6600	1	1
6603	1	1
6605	1	2
6606	1	2
6608	1	2
6611	2	3
6614	1	1
6615	1	1
6619	1	1
6620	1	2
6624	1	1
6626	2	3
6628	1	2
6629	1	1
6631	2	3
6632	2	3
6635	1	1
6638	2	3
6640	1	3
6641	1	2
6642	1	1
6644	2	3
6645	2	3
6646	2	3
6649	1	1
6651	1	2
6652	1	2
6653	1	3
6655	1	1
6656	2	3
6658	1	1
6659	1	1
6664	1	1
6666	1	1
6667	1	1
6668	1	2
6669	1	3
6674	2	3
6678	2	3
6679	1	1
6680	1	1
6681	1	1
6682	1	2
6683	1	2
6685	1	2
6687	2	3
6688	1	1
6692	1	1
6693	2	3
6694	1	1
6700	1	1
6705	1	1
6709	1	1
6710	1	1
6712	1	1
6714	1	1
6720	1	1
6721	1	1
6724	1	1
6725	1	1
6726	1	2
6728	2	3
6731	1	1
6732	1	2
6735	1	1
6736	2	3
6738	1	1
6739	1	1
6740	1	1
6741	1	1
6743	1	1
6744	2	3
6745	1	1
6748	1	2
6750	1	2
6751	1	1
6756	1	1
6760	1	1
6762	1	1
6763	1	1
6764	1	1
6766	1	2
6769	1	1
6770	1	1
6771	1	1
6776	1	2
6777	1	2
6778	1	2
6779	1	1
6781	1	1
6783	1	1
6786	1	1
6789	1	1
6791	1	1
6793	1	2
6796	1	2
6797	1	1
6798	1	2
6801	1	1
6802	1	1
6803	1	1
6804	1	2
6808	1	1
6810	2	3
6811	1	1
6812	1	1
6814	1	1
6815	1	1
6819	1	1
6820	1	2
6822	1	2
6823	1	2
6826	1	1
6827	1	1
6830	1	1
6831	1	1
6834	1	1
6835	1	1
6840	2	3
6843	1	1
6849	1	1
6850	1	1
6853	1	1
6854	1	1
6855	1	2
6856	1	2
6857	1	1
6859	1	1
6860	1	1
6861	1	1
6865	1	1
6866	1	3
6867	2	3
6868	1	2
6870	1	1
6875	1	1
6876	2	3
6877	1	1
6879	1	1
6880	1	1
6885	1	1
6887	1	1
6889	1	1
6890	2	3
6892	1	2
6893	2	3
6896	1	1
6901	1	1
6902	1	1
6903	1	1
6906	1	2
6908	1	1
6912	1	2
6915	1	1
6916	1	1
6917	1	1
6920	1	1
6921	1	2
6922	1	1
6925	1	1
6928	1	1
6929	1	1
6930	1	2
6933	1	2
6934	1	1
6939	1	1
6942	1	2
6946	2	3
6947	2	3
6950	1	1
6951	1	1
6953	2	3
6954	2	3
6958	1	1
6963	2	3
6968	1	1
6969	1	1
6970	2	3
6971	1	1
6977	2	3
6978	2	3
6980	1	1
6983	2	3
6986	1	1
6988	1	3
6989	1	2
6990	2	3
6992	2	3
6993	1	1
6994	1	1
6995	1	1
6996	2	3
6999	2	3
7000	1	1
7003	1	1
7006	2	3
7007	2	3
7008	1	2
7009	2	3
7010	2	3
7011	2	3
7015	1	1
7018	1	1
7019	1	1
7020	1	1
7022	1	3
7023	1	2
7027	1	2
7028	2	3
7029	2	3
7030	1	1
7035	1	1
7040	2	3
7042	1	2
7043	1	1
7048	2	3
7049	2	3
7050	1	1
7052	1	1
7053	1	1
7059	1	1
7062	1	1
7065	1	1
7066	2	3
7067	1	1
7069	1	1
7071	1	1
7077	1	1
7079	2	3
7081	1	1
7082	1	1
7083	1	1
7086	1	1
7091	1	1
7093	2	3
7094	2	3
7095	1	2
7096	2	3
7098	2	3
7099	1	1
7100	1	1
7101	1	2
7102	1	2
7103	1	1
7104	1	1
7110	1	1
7111	1	1
7112	1	1
7113	2	3
7115	2	3
7117	1	2
7120	1	1
7122	2	3
7124	1	1
7126	1	1
7129	1	2
7130	1	1
7133	1	2
7137	2	3
7138	1	2
7141	1	1
7144	1	1
7145	1	1
7147	2	3
7149	1	1
7152	1	1
7154	1	2
7155	1	1
7157	2	3
7159	2	3
7160	2	3
7162	1	1
7163	1	1
7164	1	1
7165	1	2
7166	1	1
7172	1	1
7174	1	1
7175	1	1
7176	1	1
7180	1	1
7182	1	2
7184	1	1
7189	1	1
7190	1	1
7191	1	1
7194	1	1
7195	1	1
7196	2	3
7197	2	3
7198	1	1
7201	2	3
7202	1	2
7206	1	1
7207	1	1
7211	2	3
7214	2	3
7216	1	1
7223	1	1
7228	1	1
7229	2	3
7231	1	2
7236	1	3
7237	1	1
7239	1	1
7240	2	3
7241	1	1
7244	1	2
7247	1	1
7248	1	1
7249	1	1
7250	1	1
7258	2	3
7259	1	1
7262	1	1
7263	1	1
7267	2	3
7269	2	3
7270	1	1
7273	1	1
7274	1	2
7278	1	2
7281	1	1
7282	1	1
7283	1	1
7284	1	1
7285	1	1
7286	2	3
7290	1	1
7291	1	1
7292	1	1
7293	1	1
7294	1	1
7300	1	1
7304	1	1
7305	1	2
7307	1	3
7308	2	3
7310	2	3
7312	1	1
7314	1	1
7315	2	3
7317	1	2
7318	1	1
7321	1	1
7323	1	2
7325	1	1
7327	1	3
7328	1	1
7331	2	3
7336	1	2
7339	1	1
7340	1	1
7341	1	1
7343	1	2
7345	1	2
7347	1	1
7349	1	1
7351	1	1
7353	1	1
7355	2	3
7356	1	1
7357	2	3
7359	1	1
7361	2	3
7363	1	1
7364	1	1
7365	1	1
7366	2	3
7369	1	2
7376	1	1
7378	1	2
7381	1	1
7382	1	1
7383	1	1
7384	1	1
7385	1	1
7387	1	1
7388	1	1
7390	2	3
7391	2	3
7393	2	3
7395	1	1
7396	2	3
7401	2	3
7402	1	2
7403	1	1
7408	1	2
7411	2	3
7415	1	3
7416	1	2
7422	1	3
7423	2	3
7424	2	3
7425	1	1
7427	1	1
7429	1	1
7432	1	1
7433	1	1
7436	1	1
7438	1	1
7440	2	3
7443	2	3
7445	1	1
7446	1	2
7447	1	2
7448	1	1
7454	1	2
7456	1	1
7457	1	2
7458	1	1
7459	1	1
7460	2	3
7461	1	1
7462	1	2
7464	1	1
7465	1	2
7467	1	2
7470	1	1
7473	1	1
7474	1	1
7475	1	2
7479	1	2
7481	1	1
7482	2	3
7495	1	1
7500	1	1
7502	1	1
7504	2	3
7506	1	1
7507	1	1
7510	1	1
7514	1	1
7517	1	2
7521	1	1
7523	1	2
7524	2	3
7525	2	3
7527	1	2
7528	2	3
7529	1	3
7530	1	3
7537	1	1
7538	2	3
7539	2	3
7542	2	3
7543	1	2
7545	2	3
7546	2	3
7550	1	2
7551	1	2
7555	2	3
7557	1	3
7558	1	1
7560	2	3
7562	1	1
7567	1	1
7572	1	1
7573	1	1
7574	1	2
7576	1	1
7577	1	1
7578	2	3
7579	2	3
7582	2	3
7583	1	1
7585	1	1
7586	1	2
7588	2	3
7590	1	2
7591	1	2
7593	1	1
7596	1	1
7599	1	1
7601	2	3
7603	1	1
7604	1	1
7605	1	1
7608	1	1
7611	1	1
7612	1	1
7613	2	3
7616	1	3
7617	2	3
7618	1	2
7619	1	1
7620	2	3
7621	2	3
7624	1	1
7625	1	1
7626	1	2
7627	2	3
7629	2	3
7630	2	3
7631	1	2
7632	1	2
7634	1	2
7636	1	3
7643	1	1
7644	1	1
7645	2	3
7649	1	1
7650	1	1
7653	2	3
7655	1	1
7657	2	3
7658	1	1
7666	1	1
7667	1	2
7671	1	1
7680	2	3
7688	1	1
7691	1	1
7693	1	1
7694	1	2
7695	1	1
7698	1	1
7699	1	1
7702	1	1
7703	1	1
7705	2	3
7709	2	3
7710	2	3
7711	1	2
7713	1	1
7714	2	3
7716	1	1
7720	1	1
7721	1	1
7722	1	1
7723	1	1
7726	1	1
7727	1	1
7728	1	1
7729	1	1
7730	1	2
7733	1	1
7734	1	1
7736	1	1
7739	1	1
7740	1	1
7741	1	2
7742	1	2
7744	2	3
7745	1	1
7746	1	1
7747	1	1
7754	1	1
7758	1	2
7759	1	2
7773	1	1
7774	1	3
7780	1	1
7781	1	2
7782	1	2
7785	1	3
7786	1	3
7787	2	3
7789	1	2
7791	1	2
7793	2	3
7796	1	1
7807	1	1
7808	1	1
7812	1	2
7813	1	1
7816	2	3
7819	2	3
7820	1	2
7822	1	1
7825	1	1
7826	1	1
7828	1	1
7829	2	3
7830	2	3
7831	1	1
7832	1	1
7833	2	3
7836	1	1
7840	1	1
7848	1	2
7849	2	3
7850	1	1
7851	1	1
7854	1	1
7856	1	1
7857	1	2
7859	1	1
7861	1	1
7862	1	1
7866	2	3
7868	1	1
7871	2	3
7872	2	3
7873	1	1
7876	1	2
7877	1	2
7880	2	3
7884	1	1
7888	1	1
7892	1	1
7895	1	1
7896	1	2
7897	1	2
7898	1	1
7899	1	1
7902	2	3
7903	1	3
7908	1	1
7911	1	1
7913	2	3
7915	2	3
7916	1	1
7918	2	3
7919	2	3
7920	1	2
7926	1	2
7928	1	1
7936	1	1
7937	1	1
7940	1	2
7941	1	2
7942	1	2
7943	1	1
7945	1	2
7946	1	1
7950	2	3
7951	2	3
7953	1	1
7955	1	1
7956	1	2
7957	1	1
7960	1	1
