Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
1	2	2	1	3
2	2	2	3	1
3	1	1	1	3
7	3	5	1	2
9	2	2	1	2
10	3	4	2	1
11	3	2	2	1
12	2	2	1	2
16	2	2	1	2
18	3	5	2	1
21	1	1	1	2
24	1	1	1	2
26	1	1	3	2
30	2	2	3	1
33	3	2	1	3
34	2	2	3	2
35	3	5	1	3
37	1	1	2	1
39	1	1	2	1
43	3	5	2	1
45	3	5	2	1
48	2	2	1	2
49	2	2	1	2
50	2	2	1	2
51	2	2	2	1
54	3	3	1	3
55	3	5	2	3
57	2	2	1	2
58	3	1	2	1
59	1	1	2	1
60	2	2	2	1
62	2	2	1	2
70	2	2	3	1
76	1	1	2	1
78	2	2	1	3
81	1	1	2	3
84	3	2	1	2
86	3	3	1	2
99	1	1	2	1
104	1	1	1	2
105	1	1	2	1
109	2	2	1	3
110	3	2	1	3
117	1	1	2	1
124	2	2	1	3
126	2	2	2	3
133	1	1	1	2
134	3	5	1	2
135	3	3	1	2
137	3	3	2	1
141	2	2	3	1
154	3	3	2	1
155	1	1	1	2
156	2	2	2	1
157	2	2	1	2
159	1	1	2	1
163	1	1	1	3
167	1	1	1	3
169	2	2	1	3
171	2	2	1	3
173	2	2	1	2
177	3	2	1	2
179	3	5	1	2
180	2	2	1	3
181	3	2	2	3
182	2	2	2	1
183	2	2	1	2
190	1	1	2	1
192	2	2	2	1
194	3	4	1	2
196	1	1	2	1
200	3	2	1	3
204	3	2	2	1
210	2	2	1	3
211	1	1	3	1
213	1	1	3	2
215	2	2	1	2
222	2	2	2	1
228	1	1	1	2
230	1	1	1	2
238	2	2	2	1
242	2	2	1	2
245	3	3	3	2
247	1	1	1	2
248	1	1	1	2
249	3	5	1	2
250	3	3	3	1
252	1	1	2	1
253	1	1	2	1
254	1	1	2	1
255	3	3	2	1
256	1	1	3	1
258	1	1	3	2
264	3	3	1	3
272	3	1	1	3
273	3	4	1	3
274	2	2	1	3
277	1	1	3	1
279	1	1	3	1
280	2	2	3	1
281	2	2	3	2
283	2	2	2	1
286	2	2	1	3
296	2	2	1	2
301	1	1	1	2
304	3	4	2	1
306	2	2	1	2
312	3	2	1	3
313	2	2	1	2
320	1	1	2	1
323	3	3	3	1
324	3	4	3	2
325	3	5	2	1
326	1	1	1	2
327	3	5	2	1
330	1	1	1	2
333	1	1	1	3
335	2	2	1	2
338	3	2	2	1
343	2	2	1	2
347	3	5	1	3
348	2	2	1	2
349	3	2	1	3
351	3	1	1	3
353	1	1	1	3
358	2	2	1	3
364	2	2	1	3
365	1	1	3	1
366	2	2	2	1
367	1	1	1	2
368	1	1	1	2
373	3	3	2	1
374	1	1	1	3
376	2	2	2	3
379	3	2	1	2
381	3	2	1	2
387	3	3	2	1
388	2	2	2	1
390	3	1	1	3
391	3	3	3	1
393	1	1	1	3
394	2	2	1	2
395	2	2	2	1
396	1	1	2	1
398	2	2	2	1
402	2	2	2	1
404	3	3	1	3
406	3	2	1	3
408	1	1	3	1
409	1	1	3	1
412	2	2	3	2
414	2	2	1	2
419	2	2	1	2
420	1	1	2	1
421	3	5	2	1
422	1	1	1	2
423	2	2	1	2
429	3	5	2	1
430	2	2	1	2
435	1	1	2	1
436	1	1	2	3
437	1	1	3	2
438	1	1	2	3
440	1	1	3	1
441	3	1	1	3
443	3	2	1	2
445	3	2	1	3
446	3	3	1	2
447	1	1	2	1
448	1	1	1	2
453	3	2	1	2
456	2	2	1	2
457	3	5	3	1
459	3	5	2	1
472	1	1	1	3
474	3	3	1	2
477	1	1	3	1
478	3	3	1	3
479	3	2	2	1
481	3	1	1	2
483	1	1	2	1
488	3	3	1	3
492	2	2	1	2
497	1	1	2	1
498	3	3	1	2
504	1	1	1	3
511	3	3	1	2
512	2	2	1	2
518	1	1	1	2
520	2	2	3	2
522	3	3	1	2
526	3	1	2	1
527	1	1	1	2
528	3	2	1	2
533	3	2	2	1
536	1	1	1	2
537	2	2	2	1
539	1	1	1	3
541	2	2	2	1
543	3	3	2	1
544	2	2	2	1
549	2	2	2	1
552	2	2	2	1
553	3	5	1	2
560	3	2	1	2
561	2	2	2	1
563	2	2	2	1
564	2	2	1	2
568	3	4	1	3
570	1	1	1	2
571	1	1	1	2
573	1	1	2	1
577	1	1	1	3
578	1	1	3	1
580	1	1	2	1
584	2	2	1	2
585	2	2	2	1
590	3	3	1	2
592	1	1	2	1
595	3	2	1	2
599	2	2	1	2
601	1	1	1	2
603	2	2	2	1
608	2	2	1	2
609	1	1	2	1
611	3	3	1	3
615	1	1	1	2
617	1	1	1	2
619	1	1	1	2
620	3	2	1	2
623	3	1	1	2
627	2	2	3	1
628	3	5	1	3
631	1	1	3	1
637	2	2	2	3
640	3	2	1	3
644	3	4	1	2
645	2	2	1	2
646	1	1	1	2
647	1	1	2	1
648	2	2	2	1
649	2	2	1	2
652	3	3	1	2
654	1	1	2	1
656	3	5	2	3
659	3	2	2	1
660	3	2	1	2
661	2	2	2	1
662	3	3	2	1
665	2	2	1	2
669	3	2	1	2
672	3	1	1	2
674	3	5	2	1
676	3	3	2	3
677	3	2	3	2
678	2	2	3	2
682	3	3	2	1
685	2	2	3	1
686	1	1	3	1
687	2	2	3	1
690	1	1	1	3
691	2	2	1	3
692	2	2	3	2
701	1	1	2	1
702	3	2	1	2
715	3	2	3	2
717	3	3	1	3
718	2	2	1	3
724	1	1	1	3
725	1	1	1	3
728	2	2	1	3
730	3	5	2	1
731	2	2	2	1
734	3	5	1	2
735	2	2	2	1
741	3	2	2	1
743	3	3	3	2
745	3	2	1	3
747	1	1	2	3
752	2	2	2	1
756	1	1	1	2
757	1	1	1	2
758	2	2	1	2
764	3	3	1	2
765	2	2	2	1
767	2	2	1	2
768	2	2	1	2
769	2	2	1	2
774	2	2	2	1
782	1	1	1	3
783	2	2	3	1
797	2	2	2	1
798	1	1	1	3
807	1	1	1	2
809	2	2	3	2
813	1	1	1	2
815	3	1	2	1
817	2	2	3	1
818	1	1	2	1
823	1	1	1	3
824	3	2	2	3
825	1	1	1	3
826	2	2	1	3
828	3	2	2	1
830	3	2	1	2
838	2	2	1	2
848	3	4	3	2
851	2	2	1	2
852	2	2	1	2
856	2	2	1	2
858	3	2	1	3
860	1	1	1	2
861	2	2	2	1
864	1	1	2	1
865	3	2	2	1
867	2	2	1	3
868	3	2	1	3
869	3	2	3	1
870	1	1	1	2
871	2	2	3	1
874	1	1	1	2
875	3	2	1	2
878	2	2	2	1
879	1	1	2	1
880	3	1	1	2
881	3	2	2	1
882	2	2	3	2
885	3	2	1	2
893	2	2	1	2
898	1	1	2	1
899	2	2	2	1
901	2	2	1	2
904	1	1	1	2
905	2	2	1	2
907	3	4	1	2
912	2	2	2	1
914	2	2	2	1
915	3	3	1	2
916	1	1	2	1
917	1	1	2	1
918	1	1	1	2
919	1	1	3	1
920	2	2	1	3
922	1	1	3	2
925	1	1	3	1
926	2	2	2	1
927	3	1	3	2
931	1	1	2	1
933	1	1	2	1
934	3	2	2	1
935	1	1	2	1
936	2	2	2	1
937	2	2	3	1
938	3	3	3	1
939	1	1	3	1
943	3	2	1	3
944	2	2	2	1
947	2	2	1	2
950	1	1	2	1
951	1	1	2	1
955	2	2	1	2
957	2	2	1	3
965	3	2	2	1
966	3	3	1	2
967	1	1	2	1
969	3	3	1	2
973	2	2	1	2
976	1	1	2	1
977	1	1	1	2
980	2	2	3	1
981	3	1	3	1
982	2	2	1	2
984	2	2	1	2
989	1	1	1	3
992	3	1	1	2
993	2	2	1	2
995	3	2	1	2
997	3	2	2	3
998	3	2	2	1
999	2	2	3	1
1002	2	2	1	3
1007	1	1	3	1
1010	1	1	3	1
1011	1	1	2	3
1012	1	1	1	2
1015	1	1	3	1
1016	1	1	2	1
1017	3	5	2	1
1019	1	1	2	1
1021	1	1	1	3
1022	1	1	1	3
1023	1	1	2	1
1024	3	2	2	1
1026	3	5	1	2
1029	1	1	1	2
1030	3	2	1	2
1031	2	2	2	1
1032	3	2	1	2
1033	1	1	1	2
1049	2	2	2	1
1053	1	1	1	3
1062	1	1	1	2
1063	1	1	3	1
1064	2	2	3	1
1065	1	1	3	1
1067	2	2	1	3
1068	1	1	2	1
1069	1	1	3	1
1071	1	1	2	1
1072	2	2	2	1
1073	1	1	1	2
1075	3	3	2	3
1077	3	3	3	1
1084	2	2	1	2
1085	3	3	2	1
1089	1	1	1	2
1092	3	3	1	2
1093	3	3	1	2
1100	3	3	1	2
1101	3	2	2	1
1103	3	2	1	2
1105	1	1	2	1
1110	1	1	2	1
1111	3	4	1	2
1114	2	2	1	3
1117	3	2	1	2
1118	3	2	1	2
1123	1	1	2	1
1124	1	1	2	1
1125	1	1	2	1
1128	2	2	1	3
1129	3	3	1	2
1134	2	2	2	1
1138	3	3	2	1
1140	1	1	2	1
1144	3	2	1	2
1147	2	2	2	1
1151	2	2	1	2
1162	3	3	1	3
1167	3	3	2	1
1170	3	2	1	3
1171	3	2	1	2
1174	2	2	2	1
1177	1	1	1	3
1178	2	2	3	1
1181	3	5	1	2
1194	3	2	1	2
1202	1	1	2	1
1207	2	2	1	3
1208	2	2	1	2
1211	3	2	1	2
1212	3	1	1	3
1214	1	1	1	2
1216	3	3	1	3
1220	1	1	1	2
1222	1	1	1	2
1224	3	2	2	1
1236	2	2	2	1
1237	2	2	1	2
1238	1	1	1	2
1244	1	1	2	1
1245	1	1	1	2
1250	2	2	2	1
1252	2	2	2	1
1256	3	2	1	2
1257	1	1	1	3
1263	3	3	3	1
1269	1	1	1	2
1270	1	1	1	2
1271	1	1	1	2
1273	3	4	1	2
