Sweep	Chain_l	Chain_r
1	3	1
2	2	3
3	3	1
4	3	2
5	1	3
6	2	1
8	1	2
10	2	1
12	1	2
13	3	1
14	1	2
18	2	1
21	3	2
25	3	2
26	2	3
27	3	2
28	2	3
29	1	3
30	3	2
31	2	1
32	2	3
33	1	2
34	2	1
35	1	2
36	1	2
37	1	2
38	1	2
39	1	2
40	2	1
41	2	1
42	1	3
43	2	3
44	1	2
45	3	1
46	1	2
50	1	2
51	1	2
54	2	1
55	1	2
56	3	2
58	2	1
59	2	1
60	1	2
61	1	2
62	3	2
64	1	2
66	3	1
68	3	1
69	3	2
70	2	3
71	3	2
72	2	3
73	3	1
74	3	2
75	3	2
77	3	2
78	3	2
79	2	1
80	2	1
81	2	1
83	3	2
86	3	2
89	2	3
93	1	2
94	2	1
95	3	2
96	1	2
97	3	2
98	2	1
100	2	1
101	1	2
102	1	2
104	1	2
105	2	1
106	1	2
107	2	3
108	3	1
110	1	3
111	1	2
112	1	2
113	1	2
114	2	3
116	1	2
117	3	2
119	1	2
120	2	3
121	2	1
122	1	3
123	2	3
125	2	1
126	3	2
127	1	2
132	2	1
133	2	1
134	2	1
135	1	2
136	1	3
137	1	2
138	2	3
139	2	1
140	1	3
141	1	2
142	1	2
145	3	2
146	2	3
153	1	2
156	2	1
157	1	3
158	1	2
161	2	3
163	2	1
164	1	2
165	3	2
166	3	2
167	3	2
168	2	3
169	2	3
170	3	2
171	3	1
172	3	2
174	3	2
175	2	3
177	3	2
178	2	3
179	3	2
180	2	1
181	3	1
182	1	2
183	2	3
188	2	1
190	2	1
194	1	2
196	1	2
198	1	2
199	2	3
200	1	2
201	1	2
202	2	1
205	1	2
207	2	1
209	3	1
210	3	1
211	2	3
212	2	3
213	2	3
214	2	3
215	3	1
216	2	1
220	1	2
222	2	1
223	1	2
224	3	2
225	3	2
226	2	1
227	2	1
228	1	2
229	1	2
230	2	1
231	1	2
232	3	2
234	1	2
235	2	1
238	2	1
239	2	1
242	1	2
244	1	2
245	2	1
247	2	1
248	1	2
249	2	3
250	1	3
252	2	1
253	1	2
254	1	2
255	2	3
256	2	3
257	2	3
258	3	1
261	1	3
262	2	3
264	3	1
265	1	2
267	2	3
268	2	1
271	3	2
274	3	2
276	2	3
277	2	3
278	2	3
279	1	3
280	1	2
281	2	1
284	1	2
285	3	2
287	3	1
288	3	2
289	2	1
291	1	3
292	2	1
296	1	2
297	2	1
298	2	1
301	3	1
302	3	2
303	2	1
304	1	2
306	1	2
309	3	2
310	2	3
312	3	2
313	2	1
314	2	1
315	1	3
319	1	2
321	2	3
322	2	3
323	2	1
324	1	3
325	1	2
