Sweep	n_mod	n_accept	n_mod_0_1	n_accept_0_1	n_mod_1_0	n_accept_1_0
4	15	5	7	1	8	4
5	12	2	8	1	4	1
6	10	1	4	1	6	0
8	13	3	7	2	6	1
13	11	4	5	1	6	3
14	13	2	9	1	4	1
15	15	4	10	3	5	1
17	13	5	5	2	8	3
19	13	5	6	3	7	2
20	11	5	4	2	7	3
22	9	3	3	1	6	2
25	15	3	11	3	4	0
28	13	7	6	3	7	4
29	10	3	4	1	6	2
31	12	4	8	3	4	1
32	13	3	6	0	7	3
36	11	3	6	2	5	1
38	14	4	9	2	5	2
40	16	5	9	4	7	1
41	14	4	5	0	9	4
42	9	2	3	2	6	0
44	13	4	7	3	6	1
46	13	7	4	3	9	4
47	15	7	8	3	7	4
52	11	6	5	3	6	3
56	14	6	7	4	7	2
61	18	5	13	3	5	2
63	16	11	6	5	10	6
64	19	6	11	1	8	5
65	10	3	6	3	4	0
67	17	7	9	3	8	4
68	15	7	8	2	7	5
69	10	4	7	3	3	1
71	15	6	10	5	5	1
72	14	8	6	3	8	5
73	10	3	6	0	4	3
74	15	6	9	4	6	2
75	15	6	7	2	8	4
77	12	3	7	1	5	2
79	15	5	11	5	4	0
80	15	7	6	1	9	6
82	15	3	11	3	4	0
83	13	4	7	2	6	2
88	15	2	9	1	6	1
90	17	3	10	2	7	1
92	18	3	11	1	7	2
93	12	3	4	1	8	2
95	11	1	5	0	6	1
96	11	1	6	1	5	0
97	13	2	7	1	6	1
98	14	6	8	5	6	1
100	15	7	5	1	10	6
101	11	5	7	4	4	1
102	12	5	3	1	9	4
103	9	3	4	1	5	2
106	8	2	4	1	4	1
107	8	2	5	1	3	1
108	9	2	4	1	5	1
111	12	2	7	2	5	0
112	8	3	4	2	4	1
113	17	8	10	4	7	4
114	11	4	6	2	5	2
115	14	8	6	3	8	5
118	16	5	12	5	4	0
119	17	6	8	2	9	4
120	18	7	10	3	8	4
122	13	5	5	3	8	2
123	12	3	5	1	7	2
127	15	6	7	3	8	3
128	12	4	6	2	6	2
129	15	7	8	5	7	2
130	17	6	10	3	7	3
131	14	8	6	3	8	5
132	15	5	7	1	8	4
136	14	7	8	4	6	3
138	13	7	8	4	5	3
139	11	4	4	1	7	3
140	9	0	4	0	5	0
142	15	1	9	1	6	0
143	14	3	9	1	5	2
144	13	4	7	3	6	1
145	12	3	5	1	7	2
147	11	3	6	2	5	1
148	12	6	7	4	5	2
149	19	8	12	3	7	5
150	13	3	5	0	8	3
151	15	1	11	1	4	0
152	17	7	13	7	4	0
153	19	7	8	1	11	6
158	16	7	9	4	7	3
161	12	3	6	1	6	2
162	13	5	6	2	7	3
166	18	4	11	2	7	2
170	8	3	2	1	6	2
172	13	8	9	6	4	2
175	14	4	7	1	7	3
176	13	5	7	2	6	3
184	15	4	10	3	5	1
