Sweep	Acceptance_rate	log_proposal_std
100	0.42	-0.0270805
200	0.5	0
300	0.46	0.0270805
400	0.58	0.054161
500	0.45	0.0812415
600	0.36	0.054161
700	0.45	0.0812415
800	0.56	0.108322
900	0.42	0.0812415
1000	0.49	0.108322
1100	0.48	0.135403
1200	0.54	0.162483
1300	0.45	0.189564
1400	0.38	0.162483
1500	0.51	0.189564
1600	0.36	0.162483
1700	0.45	0.189564
1800	0.35	0.162483
1900	0.46	0.189564
2000	0.39	0.162483
2100	0.38	0.135403
2200	0.42	0.108322
2300	0.48	0.135403
2400	0.47	0.162483
2500	0.44	0.189564
2600	0.45	0.216644
2700	0.34	0.189564
2800	0.48	0.216644
2900	0.43	0.189564
3000	0.37	0.162483
3100	0.5	0.189564
3200	0.37	0.162483
3300	0.46	0.189564
3400	0.44	0.216644
3500	0.52	0.243725
3600	0.41	0.216644
3700	0.46	0.243725
3800	0.45	0.270805
3900	0.51	0.297886
4000	0.42	0.270805
4100	0.45	0.297886
4200	0.48	0.324966
4300	0.4	0.297886
4400	0.32	0.270805
4500	0.36	0.243725
4600	0.35	0.216644
4700	0.53	0.243725
4800	0.5	0.270805
4900	0.44	0.297886
5000	0.47	0.324966
5100	0.42	0.297886
5200	0.44	0.324966
5300	0.4	0.297886
5400	0.38	0.270805
5500	0.46	0.297886
5600	0.55	0.324966
5700	0.42	0.297886
5800	0.42	0.270805
5900	0.43	0.243725
6000	0.43	0.216644
6100	0.46	0.243725
6200	0.44	0.270805
6300	0.39	0.243725
6400	0.49	0.270805
6500	0.45	0.297886
6600	0.48	0.324966
6700	0.45	0.352047
6800	0.35	0.324966
6900	0.34	0.297886
7000	0.46	0.324966
7100	0.35	0.297886
7200	0.34	0.270805
7300	0.36	0.243725
7400	0.45	0.270805
7500	0.43	0.243725
7600	0.53	0.270805
7700	0.43	0.243725
7800	0.48	0.270805
7900	0.5	0.297886
8000	0.43	0.270805
8100	0.4	0.243725
8200	0.46	0.270805
8300	0.39	0.243725
8400	0.39	0.216644
8500	0.53	0.243725
8600	0.49	0.270805
8700	0.38	0.243725
8800	0.41	0.216644
8900	0.44	0.243725
9000	0.48	0.270805
9100	0.43	0.243725
9200	0.43	0.216644
9300	0.36	0.189564
9400	0.44	0.216644
9500	0.41	0.189564
9600	0.5	0.216644
9700	0.44	0.243725
9800	0.44	0.270805
9900	0.51	0.297886
10000	0.42	0.270805
10100	0.39	0.243725
10200	0.36	0.216644
10300	0.46	0.243725
10400	0.44	0.270805
10500	0.36	0.243725
10600	0.41	0.216644
10700	0.43	0.189564
10800	0.42	0.162483
10900	0.44	0.189564
11000	0.51	0.216644
11100	0.41	0.189564
11200	0.4	0.162483
11300	0.42	0.135403
11400	0.43	0.108322
11500	0.42	0.0812415
11600	0.53	0.108322
11700	0.51	0.135403
11800	0.48	0.162483
11900	0.44	0.189564
12000	0.4	0.162483
12100	0.48	0.189564
12200	0.44	0.216644
12300	0.46	0.243725
12400	0.38	0.216644
12500	0.34	0.189564
12600	0.38	0.162483
12700	0.41	0.135403
12800	0.52	0.162483
12900	0.54	0.189564
13000	0.44	0.216644
13100	0.46	0.243725
13200	0.47	0.270805
13300	0.41	0.243725
13400	0.45	0.270805
13500	0.42	0.243725
13600	0.46	0.270805
13700	0.36	0.243725
13800	0.43	0.216644
13900	0.4	0.189564
14000	0.44	0.216644
14100	0.32	0.189564
14200	0.43	0.162483
14300	0.47	0.189564
14400	0.39	0.162483
14500	0.48	0.189564
14600	0.41	0.162483
14700	0.44	0.189564
14800	0.44	0.216644
14900	0.42	0.189564
15000	0.48	0.216644
15100	0.39	0.189564
15200	0.46	0.216644
15300	0.49	0.243725
15400	0.44	0.270805
15500	0.46	0.297886
15600	0.37	0.270805
15700	0.41	0.243725
15800	0.4	0.216644
15900	0.35	0.189564
16000	0.44	0.216644
16100	0.47	0.243725
16200	0.46	0.270805
16300	0.5	0.297886
16400	0.37	0.270805
16500	0.43	0.243725
16600	0.34	0.216644
16700	0.48	0.243725
16800	0.43	0.216644
16900	0.33	0.189564
17000	0.56	0.216644
17100	0.5	0.243725
17200	0.45	0.270805
17300	0.42	0.243725
17400	0.34	0.216644
17500	0.39	0.189564
17600	0.36	0.162483
17700	0.41	0.135403
17800	0.46	0.162483
17900	0.51	0.189564
18000	0.58	0.216644
18100	0.39	0.189564
18200	0.51	0.216644
18300	0.47	0.243725
18400	0.48	0.270805
18500	0.51	0.297886
18600	0.35	0.270805
18700	0.41	0.243725
18800	0.44	0.270805
18900	0.37	0.243725
19000	0.39	0.216644
19100	0.44	0.243725
19200	0.44	0.270805
19300	0.49	0.297886
19400	0.36	0.270805
19500	0.46	0.297886
19600	0.42	0.270805
19700	0.39	0.243725
19800	0.55	0.270805
19900	0.41	0.243725
20000	0.4	0.216644
20100	0.43	0.189564
20200	0.44	0.216644
20300	0.42	0.189564
20400	0.45	0.216644
20500	0.51	0.243725
20600	0.49	0.270805
20700	0.4	0.243725
20800	0.45	0.270805
20900	0.43	0.243725
21000	0.5	0.270805
21100	0.46	0.297886
21200	0.47	0.324966
21300	0.45	0.352047
21400	0.44	0.379127
21500	0.38	0.352047
21600	0.32	0.324966
21700	0.43	0.297886
21800	0.31	0.270805
21900	0.42	0.243725
22000	0.4	0.216644
22100	0.43	0.189564
22200	0.37	0.162483
22300	0.43	0.135403
22400	0.46	0.162483
22500	0.5	0.189564
22600	0.55	0.216644
22700	0.45	0.243725
22800	0.4	0.216644
22900	0.34	0.189564
23000	0.47	0.216644
23100	0.42	0.189564
23200	0.42	0.162483
23300	0.51	0.189564
23400	0.46	0.216644
23500	0.46	0.243725
23600	0.36	0.216644
23700	0.44	0.243725
23800	0.47	0.270805
23900	0.36	0.243725
24000	0.46	0.270805
24100	0.33	0.243725
24200	0.4	0.216644
24300	0.44	0.243725
24400	0.4	0.216644
24500	0.41	0.189564
24600	0.6	0.216644
24700	0.35	0.189564
24800	0.46	0.216644
24900	0.45	0.243725
25000	0.41	0.216644
