Sweep	g
1	225
2	225
3	1504.28
4	1504.28
5	1704.47
6	1704.47
7	1704.47
8	1704.47
9	1534.13
10	1069.99
11	2433.99
12	2433.99
13	5192.32
14	1735.95
15	1519.68
16	1848.51
17	1848.51
18	1848.51
19	918.523
20	918.523
21	918.523
22	918.523
23	961.316
24	1351.43
25	1351.43
26	1351.43
27	1982.49
28	1982.49
29	1637.03
30	1637.03
31	1819.21
32	1583.22
33	1583.22
34	1437.81
35	1437.81
36	1437.81
37	1195.65
38	1195.65
39	701.95
40	701.95
41	701.95
42	701.95
43	862.545
44	656.54
45	656.54
46	1424.07
47	1785.54
48	1040.89
49	1040.89
50	1040.89
51	1040.89
52	1040.89
53	2572.53
54	1170.63
55	1170.63
56	1170.63
57	1170.63
58	1170.63
59	1144.01
60	2361.74
61	842.867
62	1091.97
63	1222.01
64	1222.01
65	1222.01
66	1222.01
67	1222.01
68	1222.01
69	1222.01
70	1222.01
71	501.158
72	501.158
73	2195.07
74	2195.07
75	2195.07
76	2195.07
77	2336.26
78	2336.26
79	2336.26
80	2336.26
81	2336.26
82	2336.26
83	674.838
84	1665.38
85	1470.74
86	1470.74
87	1470.74
88	2366.26
89	2366.26
90	879.186
91	879.186
92	860.371
93	1531.45
94	1531.45
95	1531.45
96	1531.45
97	1531.45
98	1604.99
99	1604.99
100	1604.99
101	1604.99
102	1538.61
103	2668.15
104	2668.15
105	3316.55
106	3316.55
107	3316.55
108	2100.38
109	2100.38
110	2100.38
111	586.875
112	1220.18
113	1220.18
114	1428.2
115	1428.2
116	1428.2
117	1428.2
118	1315.6
119	1455.27
120	1455.27
121	1455.27
122	1455.27
123	3734.89
124	2041.94
125	1957.92
126	1116.43
127	1116.43
128	1153.5
129	1153.5
130	1340.65
131	1340.65
132	1359.44
133	853.602
134	853.602
135	1086.3
136	4051.57
137	4051.57
138	5892.58
139	5892.58
140	5892.58
141	5892.58
142	5404.41
143	1989.93
144	1989.93
145	3662.27
146	3662.27
147	3192.03
148	2343.24
149	1605.19
150	1605.19
151	2936.65
152	1351.35
153	1351.35
154	1951.25
155	1012.5
156	1012.5
157	1012.5
158	1699.7
159	1699.7
160	1699.7
161	1699.7
162	1699.7
163	2495.02
164	2495.02
165	2495.02
166	1702.75
167	4918.35
168	4918.35
169	4336.66
170	1563.52
171	2055.64
172	2422.18
173	2422.18
174	1097.7
175	1097.7
176	1097.7
177	2073.33
178	1812.12
179	2207.54
180	1032.85
181	1032.85
182	1032.85
183	1924.74
184	1924.74
185	1924.74
186	2115.63
187	2115.63
188	2115.63
189	1075.49
190	1517.88
191	1517.88
192	1371.66
193	1371.66
194	1371.66
195	1371.66
196	3347.34
197	3347.34
198	3504.6
199	3504.6
200	3504.6
201	1598.09
202	1598.09
203	1598.09
204	2382.36
205	2382.36
206	2382.36
207	2382.36
208	2382.36
209	2382.36
210	2382.36
211	1857.45
212	1094.02
213	1094.02
214	1144.44
215	1144.44
216	830.43
217	837.778
218	1151.63
219	1672.98
220	659.708
221	960.558
222	749.458
223	749.458
224	749.458
225	749.458
226	749.458
227	1013.55
228	822.275
229	822.275
230	822.275
231	822.275
232	1979.83
233	1979.83
234	791.559
235	696.817
236	696.817
237	721.913
238	721.913
239	721.913
240	651.649
241	2848.99
242	3236.16
243	3236.16
244	3179.08
245	3179.08
246	3179.08
247	1585.34
248	1585.34
249	1585.34
250	1585.34
251	1585.34
252	1585.34
253	1585.34
254	1585.34
255	2478.68
256	2478.68
257	2471.28
258	1797.17
259	1797.17
260	1797.17
261	1797.17
262	1797.17
263	1797.17
264	1797.17
265	1797.17
266	1012.85
267	1012.85
268	2059.7
269	1964.51
270	770.538
271	4276.44
272	4276.44
273	4276.44
274	4379.8
275	2817.29
276	2817.29
277	2817.29
278	2817.29
279	1223.98
280	1672.72
281	1672.72
282	4661.01
283	629.191
284	1839.72
285	932.801
286	932.801
287	2823.88
288	2823.88
289	2823.88
290	2823.88
291	1893.21
292	907.283
293	2152.95
294	1796.79
295	1849.7
296	1849.7
297	1092.33
298	1092.33
299	1092.33
300	1092.33
301	1092.33
302	3923.08
303	3923.08
304	3923.08
305	933.259
306	971.698
307	851.786
308	851.786
309	3238.05
310	3238.05
311	3537.88
312	3537.88
313	3537.88
314	2771.18
315	1874.35
316	1874.35
317	1874.35
318	1874.35
319	1874.35
320	1874.35
321	1874.35
322	1001.61
323	2971.21
324	2971.21
325	1049.79
326	838.586
327	838.586
328	926.82
329	926.82
330	2222.59
331	1998.52
332	898.61
333	1419.22
334	1419.22
335	1419.22
336	932.896
337	1034.45
338	1424.16
339	1854.49
340	2588.59
341	2588.59
342	2588.59
343	1605.75
344	811.255
345	962.566
346	917.79
347	2371.66
348	2123.16
349	2123.16
350	2123.16
351	2147.34
352	2147.34
353	2795.17
354	2795.17
355	1735.82
356	1735.82
357	1577.62
358	1763.98
359	1954.71
360	1993.66
361	2955.71
362	2430.7
363	933.517
364	1929.44
365	950.26
366	950.26
367	950.26
368	950.26
369	2964.83
370	2474.52
371	2474.52
372	2474.52
373	820.463
374	2291.09
375	896.271
376	2247.41
377	2247.41
378	2993.5
379	2993.5
380	2993.5
