Sweep	n_0->1	n_1->0
1000	0	0
2000	0	0
3000	1	0
4000	1	0
5000	0	0
6000	0	0
7000	1	1
8000	0	0
9000	2	1
10000	0	0
11000	0	0
12000	0	0
13000	0	1
14000	0	1
15000	1	2
16000	0	0
17000	0	0
18000	0	2
19000	1	1
20000	0	0
21000	0	1
22000	2	1
23000	0	0
24000	1	0
25000	1	1
26000	0	1
27000	0	0
28000	0	2
29000	0	0
30000	1	0
31000	0	0
32000	0	1
33000	1	0
34000	0	0
35000	0	0
36000	0	1
37000	0	1
38000	1	0
39000	1	1
40000	0	0
41000	0	1
42000	0	1
43000	0	1
44000	1	1
45000	0	1
46000	0	1
47000	0	0
48000	1	1
49000	0	1
50000	1	1
51000	0	0
52000	0	0
53000	0	0
54000	0	0
55000	0	1
