Sweep	Chain_1	Chain_2	Chain_3	
1	-21956.19618464	-21956.19618464	-21956.19618464	
2	-21956.19618464	-21956.19618464	-21956.19618464	
3	-21950.44870601	-21950.44870601	-21950.44870601	
4	-21947.30182025	-21950.71998509	-21946.08357023	
5	-21946.15954564	-21946.15954564	-21946.50251739	
6	-21946.15954564	-21946.15954564	-21951.12227825	
7	-21946.15954564	-21946.15954564	-21951.12227825	
8	-21946.15954564	-21946.15954564	-21955.86036024	
9	-21946.09353333	-21946.09353333	-21955.68916223	
10	-21946.04876253	-21946.04876253	-21955.28454547	
11	-21946.51788018	-21946.51788018	-21956.57468531	
12	-21946.51788018	-21946.51788018	-21956.57468531	
13	-21948.09434946	-21951.81875838	-21948.35345031	
14	-21946.17309063	-21950.17602511	-21947.3203556	
15	-21946.08863882	-21950.95313038	-21954.11932009	
16	-21946.22395698	-21951.18629089	-21954.35285414	
17	-21946.22395698	-21946.56694454	-21957.29577131	
18	-21946.22395698	-21946.56694454	-21957.29577131	
19	-21946.13374319	-21946.47654145	-21956.77033177	
20	-21946.13374319	-21949.87422284	-21953.00696416	
21	-21946.13374319	-21953.00696416	-21949.87422284	
22	-21946.13374319	-21948.05614431	-21952.73358975	
23	-21946.10086453	-21948.0233595	-21952.70103306	
24	-21946.0433172	-21947.96639394	-21952.64548146	
25	-21954.35109376	-21952.64548146	-21952.31097528	
26	-21954.35109376	-21952.31097528	-21952.64548146	
27	-21954.97851325	-21952.89193877	-21952.74760994	
28	-21946.28820823	-21952.462297	-21951.84483714	
29	-21946.4747545	-21952.30730079	-21946.1317911	
30	-21946.4747545	-21946.1317911	-21952.30730079	
31	-21946.21039126	-21946.5533758	-21960.72258729	
32	-21946.11109113	-21948.03437785	-21946.45404735	
33	-21948.03437785	-21946.11109113	-21946.45404735	
34	-21946.0636284	-21947.9867913	-21946.40656253	
35	-21947.9867913	-21946.40656253	-21946.0636284	
36	-21946.40656253	-21947.30425299	-21954.07221514	
37	-21947.36083418	-21946.37188815	-21953.85359963	
38	-21946.37188815	-21946.37188815	-21950.63620431	
39	-21946.82106387	-21946.82106387	-21950.81986989	
40	-21950.03009826	-21950.95732263	-21955.04288843	
41	-21946.82106387	-21946.82106387	-21946.47838161	
42	-21950.46343196	-21946.82106387	-21951.62933015	
43	-21950.30254907	-21951.44436469	-21946.19044687	
44	-21950.63110079	-21950.58561311	-21954.19752196	
45	-21954.19752196	-21946.95213315	-21954.0813654	
46	-21950.73346407	-21949.48177822	-21955.82759762	
47	-21946.53804932	-21952.33830688	-21955.23633566	
48	-21946.40177321	-21952.19969113	-21954.56149531	
49	-21946.40177321	-21952.19969113	-21954.56149531	
50	-21952.19969113	-21946.40177321	-21954.56149531	
51	-21946.40177321	-21952.19969113	-21954.56149531	
52	-21946.40177321	-21951.83426574	-21951.40678867	
