Sweep	Chain_1	Chain_2	Chain_3	
1	3	3	3	
2	3	3	3	
3	3	3	3	
4	1	3	2	
5	2	2	2	
6	2	2	3	
7	2	2	3	
8	2	2	4	
9	2	2	4	
10	2	2	4	
11	2	2	4	
12	2	2	4	
13	2	3	1	
14	2	3	1	
15	2	3	3	
16	2	3	3	
17	2	2	3	
18	2	2	3	
19	2	2	4	
20	2	2	3	
21	2	3	2	
22	2	2	2	
23	2	2	2	
24	2	2	2	
25	4	2	3	
26	4	3	2	
27	4	2	3	
28	2	3	3	
29	2	3	2	
30	2	2	3	
31	2	2	5	
32	2	2	2	
33	2	2	2	
34	2	2	2	
35	2	2	2	
36	2	1	4	
37	1	2	4	
38	2	2	3	
39	2	2	3	
40	3	3	4	
41	2	2	2	
42	3	2	3	
43	3	3	2	
44	3	3	4	
45	4	2	4	
46	3	3	3	
47	2	2	4	
48	2	2	4	
49	2	2	4	
50	2	2	4	
51	2	2	4	
52	2	3	3	
53	2	3	3	
54	3	2	3	
55	2	3	3	
56	3	3	4	
57	3	3	4	
58	3	3	4	
59	3	3	4	
60	3	3	4	
61	3	4	4	
62	3	4	4	
63	3	3	4	
64	2	2	2	
65	3	2	4	
66	4	2	3	
67	2	1	5	
68	1	3	1	
69	2	3	2	
70	2	2	3	
71	2	6	3	
72	3	4	2	
73	1	3	2	
74	2	4	2	
75	2	2	2	
76	2	2	2	
77	2	2	1	
78	2	1	2	
79	2	2	6	
80	2	2	1	
81	2	2	1	
82	2	3	3	
83	2	3	3	
84	2	3	3	
85	2	3	3	
86	2	3	3	
87	2	3	3	
88	2	3	3	
89	2	3	3	
90	2	3	4	
91	2	3	4	
92	2	3	3	
93	2	2	3	
94	2	2	3	
95	2	2	2	
96	2	3	2	
97	2	3	2	
98	2	2	7	
99	2	2	7	
100	2	3	1	
101	2	2	5	
102	2	2	2	
103	1	1	3	
104	1	1	3	
105	1	1	3	
106	1	1	3	
107	1	2	2	
108	1	2	2	
109	1	2	2	
110	2	2	1	
111	2	2	3	
112	2	2	4	
113	1	3	4	
114	2	2	4	
115	2	2	2	
116	2	2	2	
117	2	2	2	
118	2	4	5	
119	2	1	6	
120	2	3	3	
121	3	2	3	
122	3	3	3	
123	2	3	3	
124	2	3	3	
125	3	2	3	
126	3	3	2	
127	2	1	5	
128	2	3	3	
129	2	3	6	
130	2	2	7	
131	2	2	5	
132	1	2	3	
133	2	1	3	
134	2	1	3	
135	1	2	3	
136	2	2	3	
137	2	2	3	
138	1	3	4	
139	2	2	2	
140	2	2	2	
141	2	2	2	
142	2	2	3	
143	2	2	2	
144	2	4	2	
145	2	2	3	
146	2	3	2	
147	2	3	3	
148	2	3	5	
149	2	2	4	
150	2	2	1	
151	2	2	2	
152	3	4	6	
153	2	2	4	
154	2	2	4	
155	2	2	4	
156	2	2	4	
157	4	2	2	
158	3	3	3	
159	3	3	3	
160	3	3	3	
161	4	2	2	
162	2	2	3	
163	2	2	3	
164	2	2	3	
165	2	3	2	
166	2	2	3	
167	2	3	2	
168	2	2	3	
169	2	3	2	
170	2	2	2	
171	2	2	2	
172	2	4	4	
173	2	4	4	
174	2	4	4	
175	2	3	3	
176	2	3	2	
177	2	2	3	
178	2	3	2	
179	2	2	3	
180	2	2	3	
181	3	2	2	
182	2	3	2	
183	2	2	3	
184	2	2	5	
185	2	2	5	
186	3	3	6	
187	2	3	2	
188	2	2	2	
189	2	3	2	
190	3	2	2	
191	3	1	5	
192	3	1	5	
193	2	1	4	
194	2	1	4	
195	2	2	3	
196	2	2	3	
197	3	3	3	
198	3	3	3	
199	2	2	2	
200	2	2	2	
201	2	2	3	
202	2	2	2	
203	1	2	3	
204	1	2	3	
205	2	1	3	
206	2	3	4	
207	1	3	5	
208	1	3	5	
209	2	3	1	
210	1	3	2	
211	1	2	3	
212	1	2	2	
213	1	2	2	
214	1	2	3	
215	3	2	1	
216	1	2	1	
217	2	2	3	
218	2	1	3	
219	2	3	4	
220	3	3	5	
221	3	2	3	
222	2	3	3	
223	2	1	1	
224	2	1	2	
225	2	3	1	
226	2	2	6	
227	2	2	4	
228	2	2	4	
229	2	2	4	
230	2	2	4	
231	2	1	4	
232	2	3	3	
233	2	3	5	
234	3	2	5	
235	3	2	5	
236	2	3	3	
237	2	3	5	
238	3	2	5	
239	2	2	2	
240	2	2	4	
241	2	3	4	
242	2	3	4	
243	2	4	3	
244	3	2	1	
245	2	3	1	
246	2	2	1	
247	2	2	1	
248	2	2	1	
249	2	1	2	
250	2	1	2	
251	2	1	3	
252	1	2	3	
253	2	1	3	
254	1	2	3	
255	1	3	2	
256	1	2	3	
257	1	2	2	
258	2	2	1	
259	3	4	3	
260	2	2	3	
261	3	3	2	
262	2	3	4	
263	2	3	2	
264	2	3	2	
265	2	2	3	
266	2	2	5	
267	3	4	4	
268	2	3	4	
269	2	3	4	
270	1	1	5	
271	1	4	2	
272	1	4	2	
273	1	4	2	
274	1	2	4	
275	1	2	4	
276	1	2	2	
277	1	2	2	
278	2	3	2	
279	2	3	2	
280	3	2	2	
