Sweep	Model_size	log_marg	log_cond_post	Model
0	3	-21920.72548184	-21956.19618464		2 8 9 
1	3	-21920.72548184	-21956.19618464	2 8 9 
2	3	-21920.72548184	-21956.19618464	2 8 9 
3	3	-21923.46707256	-21950.44870601	2 8 9 
4	1	-21923.61848975	-21947.30182025	9 
5	2	-21920.76517937	-21946.15954564	2 9 
6	2	-21920.76517937	-21946.15954564	2 9 
7	2	-21920.76517937	-21946.15954564	2 9 
8	2	-21920.76517937	-21946.15954564	2 9 
9	2	-21920.66167451	-21946.09353333	2 9 
10	2	-21920.30912145	-21946.04876253	2 9 
11	2	-21921.11663167	-21946.51788018	2 9 
12	2	-21921.11663167	-21946.51788018	2 9 
13	2	-21922.2113961	-21948.09434946	1 9 
14	2	-21920.78319195	-21946.17309063	2 9 
15	2	-21920.65238177	-21946.08863882	2 9 
16	2	-21920.84505163	-21946.22395698	2 9 
17	2	-21920.84505163	-21946.22395698	2 9 
18	2	-21920.84505163	-21946.22395698	2 9 
19	2	-21920.16070627	-21946.13374319	2 9 
20	2	-21920.16070627	-21946.13374319	2 9 
21	2	-21920.16070627	-21946.13374319	2 9 
22	2	-21920.16070627	-21946.13374319	2 9 
23	2	-21920.2049134	-21946.10086453	2 9 
24	2	-21920.53729557	-21946.0433172	2 9 
25	4	-21925.95470037	-21954.35109376	2 6 9 14 
26	4	-21925.95470037	-21954.35109376	2 6 9 14 
27	4	-21926.71395582	-21954.97851325	2 6 9 14 
28	2	-21920.91402256	-21946.28820823	2 9 
29	2	-21921.06843463	-21946.4747545	1 9 
30	2	-21921.06843463	-21946.4747545	1 9 
31	2	-21920.82931361	-21946.21039126	2 9 
32	2	-21920.69262143	-21946.11109113	2 9 
33	2	-21922.61590814	-21948.03437785	4 9 
34	2	-21920.59803442	-21946.0636284	2 9 
35	2	-21922.52119732	-21947.9867913	4 9 
36	2	-21920.94096855	-21946.40656253	1 9 
37	1	-21923.50715132	-21947.36083418	9 
38	2	-21920.76034737	-21946.37188815	1 9 
39	2	-21920.24368833	-21946.82106387	1 9 
40	3	-21921.91227767	-21950.03009826	1 9 14 
41	2	-21920.24368833	-21946.82106387	1 9 
42	3	-21922.34561138	-21950.46343196	2 8 9 
43	3	-21922.6714207	-21950.30254907	1 8 9 
44	3	-21922.31799733	-21950.63110079	1 9 15 
45	4	-21924.53449178	-21954.19752196	2 6 9 14 
46	3	-21923.72169547	-21950.73346407	1 9 12 
47	2	-21921.15389728	-21946.53804932	1 9 
48	2	-21920.62510577	-21946.40177321	1 9 
49	2	-21920.62510577	-21946.40177321	1 9 
50	2	-21926.42302369	-21952.19969113	9 13 
51	2	-21920.62510577	-21946.40177321	1 9 
52	2	-21920.62510577	-21946.40177321	1 9 
53	2	-21921.51442481	-21946.93233406	1 9 
54	3	-21924.6904603	-21951.86434634	4 9 14 
55	2	-21920.73968838	-21946.37312939	1 9 
56	3	-21923.12077054	-21950.29465659	1 8 9 
57	3	-21924.16290005	-21951.3367861	1 4 9 
58	3	-21923.12077054	-21950.29465659	1 8 9 
59	3	-21924.12894879	-21951.32796165	1 4 9 
60	3	-21925.20375035	-21952.13795028	1 4 9 
61	3	-21922.97568692	-21950.65339973	1 9 10 
62	3	-21923.35640334	-21950.61055368	1 9 10 
63	3	-21923.49546296	-21950.62603314	1 9 12 
64	2	-21924.87033146	-21950.4604566	8 9 
65	3	-21924.96255123	-21952.0931214	4 8 9 
66	4	-21926.47843644	-21954.95893333	2 5 7 9 
67	2	-21926.01212025	-21951.60224538	9 15 
68	1	-21923.51769073	-21947.34995795	9 
69	2	-21924.93511746	-21950.5252426	5 9 
70	2	-21924.93511746	-21950.5252426	5 9 
71	2	-21921.50033901	-21949.2846321	4 9 
72	3	-21922.55308149	-21951.87781961	2 4 9 
73	1	-21923.803201	-21947.4257695	9 
74	2	-21926.58992038	-21951.9703468	9 15 
75	2	-21921.35755701	-21946.73798343	1 9 
76	2	-21921.35755701	-21946.73798343	1 9 
77	2	-21921.41914805	-21946.81048505	1 9 
78	2	-21921.41914805	-21946.81048505	1 9 
79	2	-21921.41914805	-21946.81048505	1 9 
80	2	-21922.99980287	-21948.39113986	4 9 
81	2	-21921.41914805	-21946.81048505	1 9 
82	2	-21921.41914805	-21946.81048505	1 9 
83	2	-21920.20584717	-21946.89584016	1 9 
84	2	-21921.08532279	-21946.4862007	1 9 
85	2	-21920.96319134	-21946.41603513	1 9 
86	2	-21920.96319134	-21946.41603513	1 9 
87	2	-21920.96319134	-21946.41603513	1 9 
88	2	-21921.43176385	-21946.82596042	1 9 
89	2	-21921.43176385	-21946.82596042	1 9 
90	2	-21920.46105221	-21946.51456804	1 9 
91	2	-21920.46105221	-21946.51456804	1 9 
