Sweep	Chain_1	Chain_2	Chain_3	
57	1	1.41421	2	
112	1	1.41912	2.01391	
166	1	1.42405	2.02792	
221	1	1.42899	2.04202	
275	1	1.43396	2.05623	
331	1	1.43893	2.07053	
392	1	1.44393	2.08493	
452	1	1.44894	2.09943	
507	1	1.45397	2.11404	
557	1	1.45902	2.12874	
612	1	1.46409	2.14355	
668	1	1.46917	2.15846	
722	1	1.47427	2.17347	
778	1	1.47939	2.18859	
837	1	1.48452	2.20381	
891	1	1.48968	2.21914	
947	1	1.49485	2.23457	
1001	1	1.50004	2.25012	
1060	1	1.50525	2.26577	
1114	1	1.51047	2.28153	
1167	1	1.51572	2.2974	
1221	1	1.52098	2.31338	
1277	1	1.52626	2.32947	
1330	1	1.53156	2.34567	
1380	1	1.53688	2.36199	
1431	1	1.54221	2.37841	
1482	1	1.54756	2.39496	
1536	1	1.55294	2.41162	
1589	1	1.55833	2.42839	
1643	1	1.56374	2.44528	
1693	1	1.56917	2.46229	
1745	1	1.57462	2.47942	
1796	1	1.58008	2.49666	
1847	1	1.58557	2.51403	
1899	1	1.59107	2.53151	
1954	1	1.5966	2.54912	
2005	1	1.60214	2.56685	
2059	1	1.6077	2.58471	
2110	1	1.61328	2.60268	
2160	1	1.61888	2.62079	
2211	1	1.6245	2.63902	
2264	1	1.63014	2.65737	
2314	1	1.6358	2.67586	
2366	1	1.64148	2.69447	
2419	1	1.64718	2.71321	
2472	1	1.6529	2.73208	
2522	1	1.65864	2.75108	
2575	1	1.6644	2.77022	
2626	1	1.67018	2.78949	
2681	1	1.67597	2.80889	
2733	1	1.68179	2.82843	
2786	1	1.68763	2.8481	
2840	1	1.69349	2.86791	
2892	1	1.69937	2.88786	
2945	1	1.70527	2.90795	
2997	1	1.71119	2.92817	
3049	1	1.71713	2.94854	
3100	1	1.72309	2.96905	
3151	1	1.72907	2.9897	
3203	1	1.73508	3.01049	
3253	1	1.7411	3.03143	
3306	1	1.74715	3.05252	
3359	1	1.75321	3.07375	
3409	1	1.7593	3.09513	
3460	1	1.76541	3.11666	
3512	1	1.77154	3.13834	
3563	1	1.77769	3.16017	
3615	1	1.78386	3.18215	
3667	1	1.79005	3.20428	
3717	1	1.79626	3.22657	
3768	1	1.8025	3.24901	
3819	1	1.80876	3.27161	
3872	1	1.81504	3.29436	
3924	1	1.82134	3.31728	
3975	1	1.82766	3.34035	
4025	1	1.83401	3.36359	
4075	1	1.84038	3.38698	
4128	1	1.84676	3.41054	
4179	1	1.85318	3.43426	
4229	1	1.85961	3.45815	
4279	1	1.86607	3.4822	
4329	1	1.87254	3.50642	
4380	1	1.87905	3.53081	
4431	1	1.88557	3.55537	
4481	1	1.89212	3.5801	
4531	1	1.88557	3.55537	
4584	1	1.89212	3.5801	
4636	1	1.89868	3.605	
4686	1	1.90528	3.63008	
4736	1	1.91189	3.65533	
4786	1	1.91853	3.68075	
4836	1	1.92519	3.70635	
4887	1	1.93187	3.73213	
4938	1	1.93858	3.75809	
4988	1	1.93187	3.73213	
