Sweep	Chain_l	Chain_r
5003	1	1
5008	1	1
5010	1	1
5012	1	2
5013	1	1
5016	1	1
5017	1	2
5018	1	1
5019	1	1
5020	1	1
5021	1	1
5022	1	1
5024	1	1
5025	1	1
5028	1	1
5030	1	1
5032	1	2
5033	1	1
5035	1	1
5036	1	1
5041	1	1
5046	1	1
5048	1	1
5049	1	1
5050	1	1
5054	2	3
5055	2	3
5056	1	1
5061	1	1
5062	1	2
5063	1	2
5064	2	3
5065	1	2
5066	1	1
5067	1	1
5071	1	1
5072	1	1
5074	1	2
5076	1	1
5077	2	3
5078	1	1
5079	2	3
5080	1	2
5081	1	1
5083	1	1
5086	1	1
5087	1	1
5088	1	1
5094	1	1
5096	1	2
5099	1	1
5102	1	1
5107	2	3
5110	2	3
5111	2	3
5115	1	1
5118	1	1
5119	1	1
5121	1	2
5123	1	1
5126	1	1
5127	1	2
5130	1	1
5134	1	1
5137	1	1
5139	2	3
5140	2	3
5141	1	1
5142	1	2
5144	1	1
5145	1	2
5146	1	1
5149	1	1
5154	1	2
5156	1	1
5157	1	2
5158	1	1
5159	1	1
5160	1	1
5161	1	1
5163	2	3
5166	1	1
5173	1	1
5174	1	1
5175	1	1
5179	1	2
5180	1	1
5182	2	3
5183	2	3
5184	1	1
5185	1	1
5186	1	1
5189	1	1
5190	1	1
5194	1	1
5196	1	1
5198	1	2
5201	1	3
5202	1	1
5203	1	1
5204	1	1
5206	2	3
5208	2	3
5209	1	1
5213	1	1
5214	2	3
5215	2	3
5221	1	1
5224	1	1
5226	2	3
5227	1	2
5230	2	3
5231	1	1
5232	1	1
5233	1	1
5234	1	1
5239	1	1
5240	1	1
5241	1	1
5242	1	1
5244	1	1
5246	1	1
5248	1	1
5251	1	1
5254	1	1
5257	1	1
5258	1	1
5262	1	1
5267	1	1
5268	1	1
5269	1	1
5273	1	1
5275	2	3
5276	1	1
5278	1	2
5279	1	1
5281	1	1
5283	1	1
5285	1	1
5286	1	2
5290	2	3
5291	1	1
5293	2	3
5294	1	1
5296	1	1
5297	1	1
5299	1	2
5302	1	1
5305	1	1
5308	1	2
5310	1	1
5311	1	1
5314	1	1
5315	1	1
5316	2	3
5319	1	2
5321	1	2
5322	1	1
5323	1	1
5324	1	1
5327	2	3
5328	1	2
5333	1	1
5335	1	1
5337	2	3
5338	2	3
5339	1	1
5340	1	1
5342	1	1
5343	2	3
5344	2	3
5347	1	1
5349	1	2
5350	1	1
5351	1	1
5355	1	2
5356	1	2
5358	1	1
5361	2	3
5363	1	1
5365	2	3
5366	1	1
5369	1	2
5370	1	2
5371	1	1
5373	1	1
5374	1	1
5376	1	2
5377	1	1
5378	1	1
5379	1	1
5380	1	1
5381	1	2
5382	1	2
5383	1	1
5384	1	1
5385	2	3
5386	1	2
5387	1	2
5388	1	1
5392	2	3
5393	1	1
5397	1	2
5398	2	3
5400	2	3
5401	1	1
5402	1	1
5404	1	1
5405	2	3
5407	1	2
5409	1	1
5410	1	1
5411	2	3
5412	1	1
5416	1	1
5420	1	2
5421	2	3
5425	1	2
5428	2	3
5429	2	3
5430	1	2
5431	1	2
5432	1	1
5434	1	1
5436	1	2
5441	1	1
5443	1	1
5444	2	3
5445	1	1
5446	2	3
5450	1	2
5452	1	1
5453	1	1
5455	1	1
5456	1	2
5458	1	1
5459	1	3
5460	1	1
5462	1	1
5463	1	1
5464	1	1
5465	1	1
5466	1	1
5467	1	1
5470	1	2
5475	1	1
5476	2	3
5477	2	3
5480	1	2
5481	1	1
5482	1	2
5483	1	1
5489	1	1
5491	1	1
5492	1	1
5494	1	2
5495	1	2
5497	1	1
5499	1	2
5501	1	2
5502	1	2
5504	1	1
5507	2	3
5508	1	2
5514	1	2
5517	1	2
5518	1	1
5521	1	1
5523	1	1
5524	1	1
5525	1	2
5532	1	1
5533	1	1
5535	1	1
5538	1	1
5539	1	1
5540	2	3
5542	1	1
5545	1	1
5546	1	1
5548	1	1
5550	1	1
5553	1	2
5554	1	1
5555	1	1
5556	1	1
5558	2	3
5563	1	1
5566	1	1
5571	1	1
5578	1	2
5579	1	2
5581	1	2
5583	1	1
5589	2	3
5591	1	1
5596	1	2
5602	2	3
5605	2	3
5606	2	3
5608	1	3
5610	2	3
5613	1	2
5615	1	2
5616	1	2
5617	1	1
5618	1	1
5622	2	3
5624	1	1
5625	1	2
5626	1	1
5628	1	1
5629	1	1
5630	2	3
5632	2	3
5634	2	3
5637	1	2
5639	1	1
5640	1	1
5641	1	1
5644	2	3
5645	1	1
5646	1	1
5648	1	1
5656	1	1
5657	2	3
5659	1	1
5660	1	1
5663	1	1
5664	1	1
5666	1	1
5668	1	1
5670	1	1
5672	1	2
5673	2	3
5681	1	1
5682	1	1
5683	1	1
5684	1	1
5687	1	2
5688	1	1
5689	1	1
5690	1	2
5691	1	1
5693	1	1
5694	1	1
5695	1	1
5697	1	2
5698	1	1
5699	1	1
5700	2	3
5701	1	2
5702	1	1
5705	1	1
5709	1	1
5710	1	1
5711	2	3
5712	1	2
5714	1	1
5716	1	2
5718	2	3
5722	1	1
5729	1	2
5730	1	1
5733	1	1
5739	1	1
5740	1	1
5741	2	3
5745	1	1
5746	1	1
5747	1	1
5748	1	1
5750	1	1
5751	1	1
5753	1	1
5754	2	3
5756	1	2
5757	1	2
5758	1	2
5759	1	2
5760	1	1
5764	1	1
5765	1	1
5767	1	1
5769	1	1
5771	1	1
5773	1	1
5775	1	1
5779	1	2
5780	1	2
5781	1	1
5782	1	1
5783	1	1
5785	1	1
5786	1	1
5787	1	1
5789	1	1
5790	1	1
5794	1	1
5795	1	1
5800	1	2
5801	1	1
5803	1	1
5804	1	1
5806	1	1
5807	1	1
5809	1	1
5810	2	3
5811	1	1
5817	1	2
5818	1	1
5819	1	1
5820	1	1
5822	1	1
5823	1	1
5824	1	1
5825	1	1
5828	1	1
5829	1	2
5830	1	2
5831	1	1
5832	1	1
5833	1	1
5834	1	1
5835	1	1
5836	2	3
5838	1	1
5839	1	1
5841	1	2
5842	1	2
5844	1	1
5845	1	1
5846	1	2
5847	1	1
5852	1	2
5854	1	1
5855	1	1
5858	1	1
5861	1	2
5864	1	1
5866	1	1
5868	1	1
5869	1	1
5870	1	1
5871	2	3
5872	1	2
5874	1	1
5875	1	1
5876	1	1
5877	1	2
5879	1	1
5880	1	2
5881	1	1
5884	1	1
5885	1	1
5886	1	1
5887	1	1
5888	1	1
5892	1	2
5893	1	2
5895	1	2
5896	1	1
5898	2	3
5899	1	1
5900	1	1
5902	1	1
5904	1	2
5906	1	1
5909	2	3
5914	1	1
5915	1	1
5917	1	1
5918	1	2
5920	1	1
5921	1	1
5924	2	3
5926	1	2
5927	1	1
5929	1	2
5931	1	1
5932	1	1
5935	1	1
5937	1	1
5938	2	3
5945	2	3
5946	1	1
5948	1	1
5949	1	1
5952	2	3
5954	1	1
5955	2	3
5959	1	1
5960	1	1
5961	1	2
5962	1	1
5963	1	1
5964	1	1
5965	1	1
5967	1	1
5968	1	1
5971	1	1
5975	1	2
5976	1	1
5978	2	3
5979	1	2
5981	1	1
5982	1	2
5983	1	1
5985	1	2
5987	1	1
5991	1	1
5995	1	1
5996	1	1
5998	1	1
5999	1	1
6003	1	1
6005	2	3
6007	2	3
6008	1	1
6009	2	3
6010	1	1
6011	1	1
6015	1	1
6016	1	1
6018	1	1
6023	1	1
6025	2	3
6027	1	2
6028	1	2
6029	2	3
6030	2	3
6032	1	1
6034	1	1
6036	1	2
6038	1	1
6041	1	1
6044	1	2
6048	1	1
6049	1	1
6053	2	3
6054	1	1
6062	1	1
6066	1	1
6067	1	2
6068	1	1
6070	1	1
6072	1	3
6073	2	3
6075	1	2
6083	2	3
6084	2	3
6085	1	1
6086	1	1
6087	1	1
6088	2	3
6089	2	3
6090	2	3
6094	2	3
6095	1	1
6096	1	1
6097	2	3
6099	1	1
6102	1	1
6103	1	1
6104	1	2
6105	1	1
6106	1	2
6107	1	2
6108	1	1
6111	1	1
6112	1	1
6115	1	2
6119	2	3
6121	1	1
6122	1	1
6123	1	1
6127	1	1
6128	1	2
6129	1	2
6130	1	1
6131	1	1
6133	1	2
6134	1	1
6138	1	1
6139	1	1
6140	1	1
6142	1	1
6144	1	1
6145	2	3
6148	1	1
6150	1	1
6152	1	1
6153	1	2
6154	1	1
6155	1	2
6157	1	1
6160	1	1
6162	1	1
6164	1	1
6166	1	1
6170	1	1
6171	1	1
6173	2	3
6175	1	2
6181	1	2
6183	1	1
6184	1	1
6187	1	1
6188	1	1
6192	1	2
6194	1	1
6198	1	1
6199	1	1
6200	1	2
6201	1	1
6204	1	2
6207	1	1
6211	1	1
6212	1	1
6215	1	1
6217	1	1
6219	1	2
6220	1	1
6221	1	2
6222	1	1
6223	1	2
6224	1	2
6226	1	2
6227	2	3
6229	1	2
6230	1	1
6232	1	1
6233	1	1
6236	1	1
6239	1	1
6243	1	1
6244	2	3
6245	1	3
6246	1	1
6247	1	2
6251	1	1
6252	1	2
6255	1	1
6256	1	1
6257	1	1
6258	1	1
6263	1	2
6264	1	2
6266	1	1
6267	1	1
6268	2	3
6269	2	3
6271	1	1
6273	1	1
6275	1	2
6276	1	1
6279	1	1
6280	2	3
6286	2	3
6288	1	1
6289	1	2
6291	1	1
6295	1	1
6296	1	1
6297	2	3
6298	1	1
6299	1	1
6300	1	1
6302	1	1
6303	1	1
6304	1	1
6305	1	2
6308	1	1
6309	1	1
6310	1	1
6311	1	1
6312	1	2
6314	1	1
6316	1	1
6318	2	3
6319	1	1
6321	1	1
6324	2	3
6325	2	3
6326	2	3
6327	1	1
6329	2	3
6333	1	1
6334	2	3
6335	2	3
6336	1	1
6337	2	3
6343	1	1
6344	1	1
6347	1	1
6348	1	1
6352	1	2
6355	1	2
6357	1	2
6358	1	1
6362	1	3
6364	1	1
6368	2	3
6369	1	1
6370	1	1
6373	1	1
6376	1	1
6377	1	1
6378	1	1
6379	1	2
6380	1	1
6385	1	2
6386	2	3
6387	1	1
6388	1	1
6389	1	2
6391	2	3
6393	1	1
6394	1	1
6396	2	3
6397	1	1
6399	1	2
6400	1	1
6402	1	2
6409	1	1
6410	1	1
6411	1	1
6412	1	1
6416	1	2
6419	2	3
6420	2	3
6421	1	1
6423	1	1
6424	1	1
6425	1	2
6429	1	2
6431	1	2
6433	1	2
6434	1	1
6435	1	1
6439	2	3
6441	1	1
6442	1	1
6445	2	3
6447	2	3
6448	1	2
6449	1	2
6450	1	1
6452	1	1
6453	1	1
6454	1	2
6457	1	1
6459	1	1
6461	1	1
6464	1	2
6465	1	1
6466	1	1
6467	1	1
6469	1	2
6470	1	2
6473	1	2
6475	1	1
6476	1	1
6479	2	3
6480	1	1
6481	1	1
6482	1	1
6483	1	2
6486	1	1
6489	1	1
6491	1	1
6492	1	1
6494	1	1
6495	1	1
6496	2	3
6499	1	1
6500	1	2
6503	1	1
6508	1	2
6510	1	3
6511	1	3
6514	1	1
6515	1	1
6522	1	2
6529	1	2
6530	1	1
6531	1	1
6532	2	3
6533	1	3
6534	1	1
6537	1	1
6540	1	1
6541	2	3
6543	1	2
6544	1	2
6545	2	3
6547	1	1
6550	2	3
6551	2	3
6552	1	1
6553	2	3
6554	1	1
6556	1	1
6557	2	3
6558	1	1
6559	1	1
6561	1	1
6564	1	2
6567	1	1
6568	2	3
6570	1	1
6575	1	2
6576	1	2
6577	1	2
6580	1	2
6581	1	2
6582	2	3
6583	2	3
6584	2	3
6587	1	1
6589	1	1
6591	1	1
6592	1	1
6595	1	2
6596	2	3
6597	2	3
6599	1	1
6601	1	2
6602	1	1
6604	1	2
6608	1	1
6614	1	1
6615	1	1
6616	1	1
6618	1	1
6620	1	2
6622	1	1
6623	1	1
6625	1	1
6630	1	2
6631	1	2
6632	1	1
6634	1	1
6635	1	2
6638	2	3
6639	1	1
6644	1	1
6645	1	1
6647	1	1
6650	1	1
6651	2	3
6652	2	3
6653	2	3
6654	1	1
6656	1	2
6657	1	3
6660	2	3
6663	2	3
6664	2	3
6665	2	3
6666	1	1
6669	1	1
6673	1	1
6678	1	1
6679	1	2
6682	2	3
6686	2	3
6687	2	3
6688	1	1
6690	1	1
6691	1	1
6692	1	1
6695	1	1
6697	1	1
6698	1	1
6703	1	1
6705	1	2
6708	1	1
6709	1	1
6711	1	2
6713	1	2
6715	1	1
6716	1	1
6718	1	1
6719	2	3
6721	1	1
6724	1	1
6726	1	2
6727	1	1
6730	1	2
6731	1	1
6737	1	2
6740	1	1
6742	1	1
6746	2	3
6750	1	1
6751	1	1
6752	1	1
6753	1	1
6754	1	1
6755	1	1
6757	1	1
6759	1	1
6761	1	1
6762	1	1
6765	1	1
6770	1	1
6771	1	1
6772	2	3
6773	1	1
6774	2	3
6777	1	1
6779	2	3
6780	2	3
6781	1	1
6786	1	1
6787	2	3
6788	1	2
6790	1	2
6791	1	1
6793	1	1
6797	2	3
6800	1	1
6803	1	1
6804	1	1
6808	1	1
6810	1	2
6811	1	2
6812	1	2
6814	1	1
6815	1	1
6816	1	2
6819	1	1
6820	1	1
6821	1	2
6825	2	3
6827	1	1
6828	1	1
6829	1	2
6831	1	2
6832	1	1
6833	1	1
6834	1	2
6837	1	1
6838	1	2
6843	1	1
6847	1	1
6851	2	3
6854	1	1
6855	1	1
6856	1	2
6857	1	2
6860	1	1
6864	1	2
6871	1	1
6872	1	1
6875	2	3
6876	1	1
6877	1	1
6879	1	2
6880	1	2
6881	1	2
6882	1	1
6883	1	1
6885	1	1
6887	1	1
6889	1	1
6899	1	1
6900	2	3
6901	2	3
6902	1	1
6903	2	3
6905	1	1
6906	2	3
6908	1	2
6909	1	1
6910	1	1
6911	2	3
6915	1	2
6916	2	3
6917	2	3
6922	1	1
6924	1	1
6926	1	1
6927	1	2
6928	1	1
6930	2	3
6934	2	3
6935	1	1
6936	1	2
6937	1	1
6938	1	1
6942	1	1
6944	2	3
6945	1	2
6948	2	3
6951	1	1
6953	1	1
6955	1	2
6960	1	2
6963	1	2
6965	2	3
6967	1	1
6969	1	2
6972	1	1
6975	1	1
6979	1	1
6982	2	3
6984	1	2
6985	1	1
6988	1	1
6989	1	2
6991	1	2
6992	1	2
6993	1	2
6996	1	2
7000	1	1
7002	1	1
7004	1	1
7007	1	1
7008	1	2
7009	1	1
7011	1	1
7013	1	1
7016	1	2
7017	1	2
7018	1	1
7019	1	1
7021	1	2
7022	1	1
7024	1	1
7026	2	3
7027	2	3
7028	1	1
7029	1	1
7030	1	1
7031	1	1
7032	1	1
7035	1	1
7037	1	1
7038	1	1
7039	1	2
7041	2	3
7043	1	1
7044	1	1
7045	1	3
7046	2	3
7048	1	2
7050	1	1
7055	1	1
7056	2	3
7057	2	3
7061	1	2
7064	1	1
7068	1	1
7070	1	1
7073	1	2
7074	1	2
7075	1	1
7079	1	1
7081	1	1
7082	1	1
7083	1	1
7088	1	1
7089	1	1
7091	1	1
7092	2	3
7099	1	1
7100	1	1
7103	1	1
7106	1	1
7107	1	1
7108	1	1
7109	1	1
7110	1	1
7111	1	1
7113	1	1
7115	1	2
7116	1	1
7117	1	1
7118	1	2
7119	1	1
7120	2	3
7121	2	3
7122	2	3
7123	2	3
7125	1	1
7127	2	3
7128	2	3
7131	1	1
7133	1	1
7136	1	1
7140	1	1
7142	1	1
7144	1	1
7145	1	2
7146	1	2
7156	2	3
7157	2	3
7158	1	1
7159	2	3
7160	1	1
7161	2	3
7162	1	1
7167	1	2
7171	1	2
7174	1	2
7175	1	1
7176	2	3
7177	1	1
7178	2	3
7182	1	3
7183	1	3
7187	1	1
7189	1	1
7190	1	1
7191	2	3
7192	1	1
7193	1	2
7194	1	1
7195	1	2
7198	1	1
7201	1	1
7202	1	2
7203	1	1
7204	1	1
7205	1	1
7207	1	1
7208	2	3
7210	1	2
7212	2	3
7215	1	2
7218	1	1
7221	1	1
7222	2	3
7223	2	3
7225	1	1
7226	1	1
7228	1	2
7231	1	1
7233	1	1
7238	1	2
7239	1	1
7245	1	1
7246	1	1
7247	2	3
7250	1	1
7254	1	1
7255	1	1
7256	1	1
7257	1	2
7258	2	3
7259	1	1
7261	1	1
7262	1	2
7263	1	1
7265	1	1
7266	1	1
7269	2	3
7271	1	1
7273	1	2
7275	1	1
7277	1	1
7279	1	1
7280	1	1
7281	1	1
7282	1	2
7284	1	1
7285	1	1
7286	1	1
7287	1	1
7290	1	2
7292	1	1
7294	1	2
7299	1	2
7303	2	3
7304	2	3
7305	1	1
7306	1	1
7307	1	1
7308	1	1
7309	1	1
7315	2	3
7316	1	2
7318	1	1
7322	1	1
7323	1	1
7324	1	1
7325	1	2
7327	1	1
7330	1	1
7331	1	1
7333	1	2
7337	1	2
7338	1	1
7339	2	3
7340	1	1
7341	1	2
7343	1	1
7348	1	1
7351	1	1
7352	1	1
7353	1	1
7358	1	1
7359	1	1
7360	1	2
7363	1	1
7366	1	1
7367	1	1
7371	1	1
7372	2	3
7374	2	3
7376	1	1
7377	1	1
7378	1	1
7381	1	1
7384	1	1
7389	2	3
7390	2	3
7391	2	3
7392	2	3
7393	1	1
7395	1	1
7397	1	2
7398	1	3
7399	2	3
7402	1	1
7404	1	2
7405	1	1
7406	1	1
7407	1	1
7409	1	1
7411	1	1
7412	1	1
7414	1	1
7416	1	1
7417	1	1
7421	1	1
7422	1	2
7423	1	1
7425	1	1
7429	1	1
7430	1	1
7431	1	1
7432	1	1
7438	1	1
7439	1	1
7440	1	1
7441	1	1
7442	1	1
7444	2	3
7445	2	3
7449	1	1
7450	2	3
7452	2	3
7454	1	1
7456	1	2
7458	1	1
7460	1	1
7461	1	1
7464	1	1
7466	1	1
7468	1	2
7469	1	2
7470	1	1
7478	1	2
7480	1	1
7482	2	3
7483	2	3
7485	1	1
7490	1	1
7492	1	1
7496	1	1
7498	1	2
7504	1	1
7505	1	1
7506	1	1
7507	1	2
7508	1	1
7509	1	1
7510	1	1
7512	1	1
7513	1	1
7515	1	1
7517	1	2
7520	1	1
7522	1	1
7523	1	1
7525	1	1
7527	1	2
7532	1	1
7535	1	1
7537	1	1
7538	1	1
7540	1	2
7542	1	1
7545	1	1
7547	1	1
7549	1	1
7550	1	1
7552	1	1
7554	1	1
7555	1	1
7556	1	1
7557	1	1
7562	2	3
7569	1	1
7573	1	1
7576	1	2
7578	1	1
7580	2	3
7582	1	1
7583	1	1
7584	1	1
7586	1	1
7588	1	1
7589	1	1
7594	1	1
7595	1	1
7596	2	3
7599	2	3
7600	1	2
7603	1	1
7604	1	1
7605	1	1
7606	1	1
7607	2	3
7608	1	1
7610	1	1
7611	1	1
7613	2	3
7615	1	1
7617	1	1
7618	1	1
7621	1	1
7622	1	1
7624	1	1
7627	1	2
7629	1	1
7630	1	1
7631	1	2
7632	1	1
7636	1	1
7639	2	3
7641	1	1
7642	1	2
7645	1	1
7647	2	3
7648	2	3
7652	1	2
7654	1	1
7656	1	1
7657	1	1
7658	1	1
7660	1	2
7661	1	2
7662	1	1
7663	1	1
7664	1	3
7666	2	3
7667	1	2
7669	1	1
7671	1	1
7676	1	1
7677	1	2
7680	1	1
7681	1	1
7682	1	1
7683	1	2
7684	1	1
7686	1	1
7688	1	1
7691	1	1
7693	1	3
7694	1	2
7695	1	2
7697	1	3
7702	2	3
7705	1	1
7706	1	2
7709	1	1
7710	1	1
7711	1	1
7712	1	1
7713	1	1
7715	1	1
7719	1	2
7721	1	1
7722	1	1
7728	1	1
7731	1	1
7732	1	1
7738	1	1
7741	2	3
7745	1	1
7747	1	1
7748	1	2
7751	1	1
7753	1	1
7758	1	1
7764	2	3
7768	1	1
7769	1	1
7772	1	2
7775	1	1
7776	1	1
7777	1	1
7778	1	1
7780	2	3
7781	1	1
7782	1	1
7783	1	1
7787	2	3
7788	2	3
7789	1	1
7796	1	1
7797	2	3
7799	1	2
7800	1	1
7801	1	2
7802	1	1
7804	1	1
7806	1	1
7809	1	2
7810	1	1
7812	1	1
7813	1	1
7819	1	1
7820	1	1
7822	1	1
7823	1	1
7824	1	1
7826	1	1
7827	1	1
7829	1	1
7831	1	2
7833	1	1
7834	1	2
7835	1	2
7836	1	1
7839	2	3
7841	1	1
7844	1	1
7846	1	1
7848	1	1
7849	1	2
7851	1	1
7854	1	1
7855	1	1
7856	1	2
7857	1	1
7858	2	3
7859	1	1
7860	1	1
7862	1	1
7863	1	1
7864	2	3
7865	1	2
7867	1	1
7869	1	1
7872	1	2
7879	1	1
7883	1	1
7887	2	3
7891	1	1
7892	1	1
7893	2	3
7894	1	1
7895	1	1
7897	1	1
7901	1	2
7908	1	1
7910	1	1
7911	1	1
7912	1	1
7913	1	2
7916	1	1
7917	1	1
7920	1	1
7921	1	1
7922	1	1
7923	1	1
7925	1	1
7927	1	1
7928	1	2
7930	1	1
7931	1	2
7934	1	1
7935	2	3
7936	1	1
7938	1	1
7939	1	1
7940	1	2
7943	2	3
7950	1	1
7951	2	3
7957	1	1
7958	1	1
7961	1	1
7962	1	1
7963	1	2
7965	1	2
7966	1	1
7968	2	3
7970	2	3
7971	2	3
7974	2	3
7977	1	1
7981	2	3
7990	1	1
7991	1	1
7993	2	3
7994	2	3
7999	1	1
8001	1	1
8002	1	1
8003	2	3
8005	1	2
8008	1	1
8009	1	1
8010	1	1
8012	1	2
8019	2	3
8020	1	1
8023	1	1
8028	1	2
8030	1	2
8039	1	1
8041	1	1
8042	1	1
8044	1	1
8045	1	1
8046	1	1
8048	1	1
8051	1	1
8052	1	1
8053	1	2
8054	1	1
8055	1	1
8056	1	1
8057	2	3
8060	1	1
8061	1	1
8062	1	1
8063	1	1
8064	1	1
8065	1	1
8070	1	1
8071	2	3
8072	1	1
8073	1	1
8076	1	1
8077	1	1
8078	1	2
8082	1	1
8083	1	2
8085	1	1
8090	2	3
8093	1	1
8094	1	1
8095	1	1
8096	1	1
8100	1	1
8106	1	1
8107	1	2
8112	1	1
8113	1	1
8114	1	2
8117	1	2
8118	1	1
8121	1	1
8122	1	2
8126	1	1
8127	1	1
8128	1	1
8129	1	1
8132	1	1
8133	1	2
8134	1	2
8138	1	1
8139	1	2
8141	1	2
8143	1	2
8148	1	1
8149	1	2
8150	1	1
8151	1	1
8152	1	1
8153	1	1
8154	1	1
8156	1	2
8159	1	1
8160	1	1
8161	1	2
8164	1	1
8168	1	1
8170	1	2
8171	1	1
8176	1	1
8180	1	2
8182	1	1
8184	1	1
8188	1	1
8191	1	1
8193	1	1
8199	1	1
8200	1	1
8201	1	1
8202	1	2
8206	1	1
8209	1	1
8211	1	1
8213	1	1
8216	1	2
8217	1	1
8221	1	2
8225	1	2
8227	1	1
8228	1	1
8229	1	2
8231	1	2
8232	1	1
8233	2	3
8234	1	1
8235	1	1
8236	1	1
8239	1	1
8242	1	1
8246	1	2
8248	1	1
8249	1	1
8251	1	2
8252	1	2
8253	1	3
8254	2	3
8255	2	3
8256	2	3
8257	1	1
8260	1	1
8261	1	1
8262	1	2
8264	1	2
8267	1	1
8268	1	2
8269	1	2
8272	1	2
8273	1	1
8274	2	3
8275	2	3
8277	2	3
8282	2	3
