Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
1	1	1	1	3
3	1	1	1	3
4	1	1	1	3
5	1	1	1	3
6	1	1	3	1
7	2	2	3	1
8	2	2	1	3
11	1	1	1	2
18	1	1	1	3
19	1	1	1	3
21	3	6	2	1
22	3	2	1	3
23	2	2	3	1
27	2	2	2	1
29	3	8	1	2
30	2	2	2	1
31	2	2	1	2
33	2	2	1	2
35	3	3	2	1
36	1	1	1	2
37	2	2	1	2
39	3	2	1	2
42	2	2	1	2
44	1	1	1	2
45	3	7	2	1
46	1	1	1	3
47	2	2	3	1
48	1	1	3	1
49	1	1	1	3
50	2	2	1	3
53	1	1	2	1
54	1	1	1	2
55	3	7	2	1
57	1	1	1	3
62	3	8	2	3
67	3	2	1	2
72	1	1	1	2
83	2	2	1	3
87	1	1	1	2
90	3	4	1	3
95	2	2	1	2
99	3	2	2	1
104	2	2	2	1
105	3	3	1	2
106	2	2	1	3
108	1	1	1	3
109	3	3	1	2
112	2	2	1	2
121	3	3	1	2
122	2	2	1	2
126	3	3	1	3
131	2	2	1	2
135	1	1	1	2
137	2	2	2	1
139	1	1	3	1
141	1	1	2	1
142	1	1	1	2
143	2	2	1	2
144	1	1	1	2
145	3	7	2	1
152	2	2	1	2
154	1	1	1	3
155	2	2	2	3
158	1	1	1	3
159	1	1	2	1
160	2	2	2	1
161	1	1	1	2
162	3	2	1	3
163	1	1	2	1
165	1	1	1	2
168	3	2	1	3
170	1	1	1	2
173	1	1	1	2
174	1	1	2	1
175	2	2	2	1
178	1	1	2	1
180	2	2	1	2
183	3	3	1	2
185	3	3	3	2
191	2	2	2	1
192	1	1	2	1
196	2	2	1	2
199	3	7	1	2
200	1	1	1	2
203	1	1	1	3
205	2	2	2	1
206	2	2	1	3
208	3	2	2	1
209	3	3	1	2
212	3	2	1	2
213	2	2	1	2
221	1	1	2	1
222	2	2	1	2
223	2	2	1	2
231	2	2	1	3
234	1	1	1	3
236	2	2	1	3
237	2	2	3	1
238	1	1	1	3
241	3	1	1	3
245	1	1	1	2
246	2	2	1	2
247	3	7	1	2
248	1	1	2	1
250	3	2	2	1
251	1	1	2	1
255	2	2	2	1
258	3	3	3	1
260	3	1	2	1
261	3	3	1	3
263	3	3	1	2
266	1	1	1	2
267	2	2	3	1
268	1	1	2	1
269	2	2	2	3
272	2	2	2	1
279	2	2	1	2
282	3	3	1	3
284	2	2	1	2
287	1	1	2	1
288	1	1	1	2
290	3	4	1	2
291	3	8	2	1
293	3	8	1	2
295	3	3	1	2
296	2	2	1	2
299	3	7	1	2
301	1	1	1	3
303	3	4	1	2
305	2	2	2	1
307	2	2	2	1
310	3	4	2	1
312	2	2	1	2
319	1	1	2	1
320	3	3	1	2
322	3	1	1	2
325	3	2	1	2
327	1	1	2	1
328	3	8	1	2
331	1	1	2	1
334	1	1	1	2
336	2	2	1	2
339	2	2	1	3
343	1	1	1	2
346	3	2	1	2
348	3	4	1	2
350	3	4	1	2
351	1	1	1	2
352	2	2	2	1
353	1	1	1	2
354	1	1	2	1
355	1	1	1	2
357	3	4	1	2
360	3	7	1	2
365	1	1	1	2
371	3	2	1	2
373	2	2	2	1
376	1	1	3	2
377	1	1	1	2
381	3	3	2	3
382	2	2	3	1
383	3	7	2	1
385	1	1	2	1
387	3	4	2	1
388	2	2	2	1
396	3	7	1	3
398	1	1	2	3
403	3	3	1	2
405	3	3	1	2
407	3	3	1	2
408	3	1	1	2
411	1	1	3	1
412	1	1	2	1
413	3	7	2	1
418	3	3	1	2
421	1	1	2	1
423	1	1	2	1
424	2	2	1	2
426	3	2	1	2
437	3	4	1	2
439	1	1	1	2
440	2	2	1	2
441	1	1	1	2
442	1	1	1	3
445	2	2	1	3
448	1	1	1	3
454	1	1	3	1
455	3	2	1	3
456	3	2	3	1
459	1	1	1	3
461	3	4	3	1
464	2	2	2	1
465	2	2	1	2
466	3	3	2	1
468	1	1	2	1
470	1	1	2	1
474	2	2	1	2
