Sweep	Chain_l	Chain_r
1	1	2
2	2	3
3	1	3
4	2	1
5	2	1
6	3	1
7	3	1
8	3	2
9	1	3
10	2	3
12	2	3
16	2	1
17	2	3
18	3	1
21	2	3
23	3	2
25	2	1
26	1	2
27	1	2
28	2	3
29	1	2
30	2	1
37	2	1
38	2	1
39	2	1
40	3	2
42	3	2
44	2	1
45	2	3
46	3	1
47	3	1
49	3	1
50	3	2
53	2	1
54	2	1
55	1	2
56	3	2
57	2	3
59	2	3
60	1	3
61	3	1
62	1	2
63	1	3
64	3	2
65	1	3
66	1	2
67	1	2
68	3	2
73	2	3
74	1	3
75	1	2
77	2	1
79	2	3
81	2	1
83	2	1
84	2	1
85	2	1
86	1	2
87	2	3
90	3	2
91	3	2
92	2	3
95	3	2
96	2	3
97	1	2
98	2	1
100	2	1
101	2	1
102	2	1
103	1	2
104	1	2
105	3	2
106	1	2
107	1	2
108	2	3
109	3	2
110	1	2
115	1	2
118	2	1
119	2	1
122	2	1
124	2	3
125	3	2
126	3	1
127	1	3
132	1	2
135	3	2
136	3	2
137	2	3
138	1	2
139	1	2
140	2	1
141	1	2
142	2	1
144	2	1
145	1	2
147	2	3
148	1	2
152	2	3
153	3	2
154	2	1
155	3	1
156	2	1
157	3	1
158	2	3
161	3	2
162	3	2
163	1	2
166	2	1
168	2	3
170	1	2
173	2	1
174	1	2
175	2	1
178	1	2
180	3	2
184	2	1
185	1	3
188	2	1
189	2	3
190	1	2
191	1	2
192	3	2
194	1	2
197	1	2
202	3	2
204	3	2
205	2	3
206	1	3
207	3	2
208	1	2
209	1	2
210	2	1
217	1	2
218	1	2
223	2	1
226	2	1
229	2	3
231	2	3
232	3	2
233	3	2
234	3	1
235	3	1
236	3	2
237	3	2
238	3	2
240	2	3
241	2	3
243	2	3
247	2	1
249	1	2
251	2	1
253	1	2
256	3	2
257	1	2
258	3	2
259	2	1
260	2	3
261	1	2
263	2	3
265	3	2
266	3	2
267	3	2
268	1	3
269	2	1
270	2	1
273	2	3
274	1	2
275	1	2
276	3	2
277	3	2
278	2	1
280	2	3
281	3	2
282	2	3
284	2	3
285	1	2
287	1	2
291	1	2
292	2	1
293	2	1
294	2	3
297	2	1
298	1	2
299	1	2
300	1	3
301	1	2
302	3	2
309	1	2
310	1	2
312	1	2
313	2	1
314	2	1
315	1	2
316	1	2
318	1	2
319	1	2
320	2	1
323	2	3
325	3	2
338	3	2
341	2	1
342	1	3
343	2	1
348	1	2
349	1	2
351	1	2
353	1	2
361	3	2
362	2	3
363	3	2
364	3	2
365	1	3
366	2	1
368	1	2
369	3	1
371	1	2
372	2	3
373	1	3
375	3	1
376	1	3
377	3	2
378	1	3
380	1	2
381	2	1
382	3	2
383	2	1
384	1	2
385	2	1
388	2	1
392	1	2
396	2	3
397	2	1
398	1	2
400	2	1
401	1	2
403	1	2
404	2	3
408	3	2
411	3	2
413	1	2
417	2	1
418	1	3
422	2	1
423	1	2
424	2	1
425	2	1
426	3	2
430	2	3
434	3	2
435	2	3
436	1	2
438	2	1
439	2	1
441	3	2
442	2	3
443	3	2
444	3	2
448	2	3
450	2	3
453	1	3
454	1	3
456	3	2
457	1	2
458	3	2
459	3	2
460	1	3
461	1	3
463	3	2
464	2	1
466	2	1
468	2	1
470	2	1
474	2	1
475	1	2
478	1	2
482	1	2
485	2	3
486	2	3
489	1	2
490	2	1
493	1	2
494	3	1
495	1	2
497	3	1
498	3	2
505	3	1
506	3	2
508	1	2
509	3	2
510	2	3
511	3	2
512	3	2
513	2	1
515	1	2
516	1	2
518	2	3
519	3	2
521	3	2
523	1	2
525	2	1
528	3	2
529	1	2
530	2	3
533	2	1
534	1	2
535	1	2
536	1	3
537	2	1
538	3	2
539	3	1
540	2	3
545	2	1
548	1	3
549	1	2
550	3	1
551	3	1
552	3	1
553	1	3
554	3	2
555	1	3
556	3	2
557	3	1
558	3	2
559	3	2
560	3	1
561	1	3
562	3	2
563	1	2
564	1	2
565	1	2
570	1	2
572	2	1
574	2	3
575	3	2
576	2	3
577	2	1
579	2	3
580	1	2
581	1	2
582	2	1
583	2	1
584	2	1
586	2	1
587	2	1
589	2	1
592	1	3
593	3	1
594	2	1
595	2	3
596	2	1
597	1	2
598	1	2
599	2	3
603	2	3
604	2	1
605	1	3
606	1	3
608	1	3
609	3	2
611	2	1
614	2	3
616	2	3
617	1	2
623	3	2
624	3	2
630	1	2
631	2	1
632	2	1
633	1	2
634	2	3
635	1	3
637	3	2
639	3	2
643	3	2
645	2	3
646	2	1
648	1	2
650	3	2
651	2	3
652	1	3
655	2	3
656	3	2
660	2	3
664	1	2
665	1	2
668	2	3
669	2	3
671	1	2
673	2	1
674	2	1
675	3	2
679	2	1
680	3	2
681	2	3
682	2	1
683	2	1
686	2	1
688	1	2
689	2	3
690	2	3
692	2	1
693	2	1
695	2	1
696	2	1
697	1	2
698	1	2
699	1	2
700	3	2
701	2	3
703	2	1
704	3	1
705	3	2
706	3	2
707	2	1
708	1	2
709	1	3
713	2	3
715	2	1
717	1	2
720	2	3
721	2	3
724	1	2
725	1	2
727	2	1
728	3	2
730	1	2
732	2	1
735	1	2
737	2	1
740	1	2
743	1	2
744	2	1
745	2	3
746	2	1
747	3	2
748	2	3
749	3	2
750	3	2
754	1	2
756	1	2
757	1	2
758	2	3
760	2	3
761	3	1
762	2	3
763	3	1
765	1	2
776	2	3
781	3	2
784	2	1
786	3	2
788	3	2
790	3	2
793	2	1
795	2	1
796	3	1
797	1	3
798	1	3
799	3	1
800	3	2
801	2	1
803	2	1
804	1	2
805	2	3
806	2	1
808	1	3
809	2	3
810	1	2
812	3	1
813	3	1
817	3	2
818	2	1
819	1	2
820	1	2
821	3	2
822	2	3
823	3	1
824	3	1
825	3	2
826	1	2
831	2	1
832	2	1
834	2	3
837	1	3
838	2	1
839	2	1
842	3	2
848	1	2
849	3	2
850	2	3
851	3	2
852	3	2
853	3	1
854	1	3
855	2	1
856	2	1
857	1	2
859	1	2
861	3	2
862	2	3
867	1	2
869	1	2
875	2	1
876	2	1
880	2	1
883	1	2
884	1	2
888	3	2
889	1	2
890	1	2
891	2	3
892	1	2
894	2	3
895	3	2
896	2	1
898	1	2
900	1	3
903	1	2
905	3	2
906	3	2
909	2	3
910	1	3
911	3	2
912	3	2
913	3	1
915	1	2
917	1	2
918	1	2
921	2	3
922	3	1
927	2	3
928	1	2
929	3	2
930	3	1
932	2	3
934	2	1
935	1	2
936	1	2
941	2	1
942	2	1
943	1	3
944	2	3
948	3	2
954	2	1
955	1	3
956	3	1
957	3	2
958	2	3
959	1	3
960	3	2
961	3	1
962	2	3
963	1	2
964	1	2
965	1	2
970	2	3
973	2	3
974	1	2
975	2	1
978	2	1
983	3	2
985	1	3
986	3	1
987	3	2
988	1	3
989	2	1
990	1	3
991	2	3
992	2	3
994	3	2
996	3	2
997	1	3
998	3	1
1000	2	1
1003	1	2
1008	2	1
1009	1	2
1010	3	2
1011	3	2
1012	3	2
1013	3	2
1015	1	2
1016	1	2
1018	1	2
1028	1	2
1030	1	2
1031	2	3
1037	2	1
1041	2	1
1043	1	2
1044	1	2
1045	2	3
1047	3	2
1048	2	3
1049	3	2
1050	3	1
1051	2	1
1053	3	2
1054	2	1
1055	2	3
1058	1	2
1059	1	2
1061	2	1
1062	3	2
1065	3	2
1066	2	3
1067	1	2
1068	1	2
1070	2	1
1071	3	2
1072	3	2
1080	3	2
1082	3	2
1087	1	2
1088	1	2
1089	3	2
1090	1	2
1091	2	3
1096	1	2
1097	2	1
1101	2	1
1102	1	2
1103	3	1
1104	2	3
1105	1	2
1108	1	2
1111	2	1
1113	2	3
1114	2	3
1119	1	3
1122	3	2
1123	3	2
1124	2	3
1125	2	3
1126	2	3
1129	1	2
1130	2	1
1131	2	1
1132	1	2
1135	3	2
1136	3	1
1137	3	2
1139	3	2
1147	2	1
1149	1	2
1151	2	1
1158	2	3
1159	2	3
1162	2	3
1163	1	2
1164	1	2
1165	1	2
1166	2	1
1167	1	2
1168	2	1
1170	2	3
1172	2	1
1174	3	2
1175	1	2
1176	1	3
1177	3	2
1181	2	3
1182	2	3
1183	2	1
1184	2	1
1185	2	1
1186	2	3
1188	1	2
1189	1	2
1192	1	2
1193	1	2
1199	2	3
1201	1	2
1203	2	1
1205	2	3
1206	2	3
1209	2	3
1212	3	2
1215	1	3
1216	2	3
1217	2	3
1218	1	3
1220	3	1
1221	3	2
1222	3	2
1223	1	3
1224	3	2
1225	1	2
1226	2	1
1227	1	2
1228	2	1
1229	3	2
1233	2	3
1234	3	2
1236	3	2
1237	2	3
1238	3	2
1242	1	2
1244	1	2
1246	2	1
1248	2	1
1249	1	2
1251	3	2
1253	3	2
1254	1	2
1255	1	2
1257	1	2
1258	1	2
1259	2	1
1263	2	3
1264	2	3
1265	3	2
1266	3	2
1270	2	3
1273	1	2
1274	2	3
1275	3	2
1276	1	2
1277	2	1
1278	1	2
1282	2	1
1283	2	1
1284	1	2
1287	3	2
1290	3	2
1301	1	2
1302	1	2
1303	2	3
1306	2	3
1307	3	2
1313	1	2
1315	3	2
1316	3	2
1317	3	2
1318	3	2
