Sweep	n_mod	n_accept	n_mod_0_1	n_accept_0_1	n_mod_1_0	n_accept_1_0
1	14	3	5	0	9	3
2	13	4	8	3	5	1
6	17	4	10	1	7	3
7	12	0	7	0	5	0
8	8	0	3	0	5	0
11	13	0	8	0	5	0
12	12	1	6	1	6	0
14	15	2	8	1	7	1
15	10	1	4	0	6	1
16	13	1	7	1	6	0
17	14	1	8	0	6	1
20	13	0	8	0	5	0
21	14	1	8	1	6	0
22	20	3	13	2	7	1
23	18	3	11	2	7	1
24	14	4	5	1	9	3
25	13	3	7	2	6	1
26	9	2	2	0	7	2
28	10	2	4	2	6	0
30	13	3	5	1	8	2
31	13	2	6	1	7	1
35	16	3	10	2	6	1
36	16	4	8	2	8	2
37	19	4	13	2	6	2
42	12	3	5	1	7	2
43	17	1	10	0	7	1
44	16	4	10	4	6	0
45	22	5	13	1	9	4
46	12	2	7	2	5	0
48	24	4	16	2	8	2
49	16	3	11	2	5	1
51	13	3	4	0	9	3
52	13	6	8	3	5	3
54	12	4	5	2	7	2
55	12	4	6	2	6	2
56	12	2	5	1	7	1
57	12	3	7	2	5	1
58	23	6	16	3	7	3
59	19	8	12	6	7	2
62	19	8	8	3	11	5
63	17	5	8	2	9	3
65	15	4	6	1	9	3
66	11	3	9	3	2	0
67	11	3	4	0	7	3
68	15	2	8	1	7	1
70	14	3	9	2	5	1
71	15	3	7	1	8	2
72	18	6	11	4	7	2
73	8	2	2	0	6	2
76	10	1	6	1	4	0
77	10	5	5	3	5	2
78	12	4	6	1	6	3
80	11	1	4	0	7	1
84	13	1	8	1	5	0
85	14	1	9	1	5	0
86	14	3	7	2	7	1
87	17	5	11	2	6	3
88	11	2	4	0	7	2
91	15	2	10	2	5	0
93	10	2	4	0	6	2
94	8	1	5	1	3	0
95	16	4	9	2	7	2
96	19	2	13	2	6	0
98	14	5	7	2	7	3
100	12	2	5	0	7	2
102	13	0	7	0	6	0
103	14	2	8	2	6	0
108	16	2	9	0	7	2
110	10	0	5	0	5	0
111	13	0	7	0	6	0
114	12	4	7	3	5	1
116	13	2	8	2	5	0
118	13	4	9	3	4	1
119	15	9	6	3	9	6
120	19	4	12	2	7	2
121	13	3	5	1	8	2
125	21	5	13	2	8	3
126	15	2	8	1	7	1
128	8	0	3	0	5	0
130	9	3	3	2	6	1
133	18	5	11	3	7	2
135	17	6	8	2	9	4
136	16	0	10	0	6	0
141	13	5	7	4	6	1
142	21	5	15	2	6	3
143	16	4	9	2	7	2
144	22	6	13	2	9	4
145	13	4	6	3	7	1
147	16	5	11	3	5	2
151	18	11	8	5	10	6
152	19	5	11	3	8	2
153	14	4	6	1	8	3
156	12	3	4	1	8	2
157	11	2	6	1	5	1
158	12	3	6	2	6	1
162	12	2	5	1	7	1
164	17	4	9	2	8	2
165	15	4	9	3	6	1
166	18	5	8	1	10	4
168	10	1	4	0	6	1
169	11	0	5	0	6	0
175	13	2	7	2	6	0
177	14	5	7	3	7	2
179	17	5	9	2	8	3
180	11	2	4	0	7	2
181	7	3	2	2	5	1
183	14	5	7	3	7	2
185	15	5	8	3	7	2
187	19	3	10	0	9	3
189	17	4	12	4	5	0
192	16	3	7	0	9	3
194	14	4	8	2	6	2
199	12	3	5	2	7	1
200	13	2	5	0	8	2
201	11	4	5	3	6	1
203	14	3	8	1	6	2
205	17	5	11	3	6	2
206	19	4	11	2	8	2
209	14	7	8	3	6	4
212	14	2	8	1	6	1
215	11	3	6	2	5	1
217	16	2	9	0	7	2
218	14	1	9	1	5	0
219	13	2	7	1	6	1
220	15	2	11	2	4	0
223	13	5	5	2	8	3
224	12	3	4	1	8	2
226	16	7	11	5	5	2
227	12	6	4	2	8	4
230	19	6	11	3	8	3
231	11	2	4	1	7	1
234	13	5	6	4	7	1
240	17	6	7	1	10	5
241	14	3	7	2	7	1
243	16	4	9	2	7	2
246	13	6	6	3	7	3
248	18	8	15	7	3	1
252	17	6	5	0	12	6
253	9	2	4	2	5	0
258	14	2	7	0	7	2
259	17	3	9	1	8	2
262	15	4	8	3	7	1
263	13	4	4	1	9	3
265	10	1	5	0	5	1
267	17	4	11	4	6	0
268	18	7	8	2	10	5
269	13	2	7	1	6	1
270	11	2	5	1	6	1
271	16	4	10	2	6	2
272	13	1	6	0	7	1
275	12	1	9	1	3	0
276	11	3	5	2	6	1
277	15	2	8	1	7	1
280	20	5	13	2	7	3
283	8	2	5	1	3	1
285	15	1	8	0	7	1
287	11	0	5	0	6	0
290	12	2	7	1	5	1
291	13	4	8	3	5	1
296	15	3	7	1	8	2
299	12	1	5	0	7	1
300	10	1	4	1	6	0
310	13	1	7	0	6	1
312	9	2	5	2	4	0
313	15	4	8	2	7	2
315	12	3	6	1	6	2
317	13	4	6	2	7	2
318	11	3	4	1	7	2
322	15	3	10	2	5	1
324	15	1	9	0	6	1
330	10	0	4	0	6	0
332	15	2	10	2	5	0
333	11	6	5	3	6	3
334	12	2	5	0	7	2
336	13	2	7	2	6	0
338	16	5	8	2	8	3
340	14	5	7	3	7	2
342	8	1	3	0	5	1
344	15	3	9	2	6	1
347	19	5	13	4	6	1
348	16	5	5	0	11	5
350	12	0	7	0	5	0
351	16	3	10	3	6	0
354	16	3	8	1	8	2
356	17	2	10	1	7	1
357	11	2	6	1	5	1
358	10	3	4	1	6	2
363	11	0	5	0	6	0
365	15	3	9	2	6	1
367	15	7	9	4	6	3
368	16	4	7	1	9	3
371	14	3	7	2	7	1
372	18	3	11	2	7	1
374	13	4	6	1	7	3
375	13	3	6	2	7	1
376	17	7	10	4	7	3
378	15	3	6	0	9	3
379	12	2	6	2	6	0
381	14	2	8	1	6	1
382	12	2	4	0	8	2
384	18	6	12	6	6	0
389	17	5	11	1	6	4
390	12	5	5	2	7	3
398	15	5	10	3	5	2
404	13	5	5	2	8	3
405	19	4	11	2	8	2
406	17	8	9	4	8	4
408	13	5	6	2	7	3
409	11	1	6	0	5	1
414	9	1	4	1	5	0
415	9	0	5	0	4	0
416	17	4	11	2	6	2
418	14	3	8	2	6	1
419	11	3	4	1	7	2
421	15	4	9	3	6	1
423	16	4	8	1	8	3
429	9	3	6	2	3	1
430	15	3	8	1	7	2
431	16	4	9	2	7	2
433	18	6	11	4	7	2
434	18	4	9	1	9	3
436	14	4	9	3	5	1
439	15	4	6	1	9	3
441	7	1	2	0	5	1
442	14	3	9	3	5	0
445	15	3	10	1	5	2
449	15	6	9	3	6	3
451	14	3	7	1	7	2
452	15	5	8	3	7	2
457	14	4	6	2	8	2
459	10	1	4	0	6	1
460	13	2	6	1	7	1
461	17	4	10	2	7	2
462	12	1	6	0	6	1
463	12	3	7	2	5	1
467	15	3	8	2	7	1
471	18	8	11	6	7	2
473	18	8	7	2	11	6
476	10	2	3	0	7	2
477	12	2	8	2	4	0
478	19	6	12	3	7	3
479	14	5	7	3	7	2
480	17	6	8	3	9	3
482	17	6	10	3	7	3
485	15	5	7	2	8	3
486	12	5	7	3	5	2
487	13	5	5	1	8	4
489	6	1	2	1	4	0
490	10	2	4	1	6	1
491	16	5	11	4	5	1
492	15	4	8	2	7	2
493	17	5	8	1	9	4
494	14	1	9	0	5	1
496	12	2	7	2	5	0
497	15	2	8	1	7	1
498	14	6	6	3	8	3
499	19	6	11	4	8	2
501	11	5	2	1	9	4
503	11	1	5	0	6	1
504	11	2	5	2	6	0
506	14	5	8	2	6	3
507	13	3	6	2	7	1
508	14	5	7	2	7	3
519	12	4	6	3	6	1
520	14	6	7	3	7	3
521	17	5	10	3	7	2
522	15	6	6	3	9	3
523	15	5	6	2	9	3
524	12	4	3	1	9	3
525	10	1	3	0	7	1
527	19	6	13	5	6	1
529	19	8	11	5	8	3
531	21	10	10	3	11	7
532	11	4	4	1	7	3
536	9	1	3	1	6	0
537	13	2	6	1	7	1
539	17	5	10	3	7	2
540	16	3	9	2	7	1
541	12	5	4	1	8	4
542	10	3	5	2	5	1
543	13	3	6	2	7	1
546	11	1	5	1	6	0
549	16	4	8	1	8	3
553	7	2	2	1	5	1
555	13	2	8	1	5	1
556	10	2	4	1	6	1
560	17	4	10	3	7	1
561	16	5	8	2	8	3
563	13	4	6	2	7	2
565	17	2	12	2	5	0
569	12	4	4	1	8	3
572	14	5	7	3	7	2
573	16	6	8	3	8	3
574	17	6	8	2	9	4
576	15	1	10	1	5	0
577	15	6	10	4	5	2
578	17	5	9	1	8	4
579	11	4	7	3	4	1
580	13	5	5	3	8	2
582	14	4	4	0	10	4
584	15	2	9	2	6	0
585	18	8	10	5	8	3
586	22	6	14	3	8	3
