Sweep	Acceptance_rate	log_proposal_std
100	0.49	0.0289037
200	0.55	0.0578074
300	0.41	0.0289037
400	0.54	0.0578074
500	0.49	0.0867112
600	0.36	0.0578074
700	0.42	0.0289037
800	0.6	0.0578074
900	0.53	0.0867112
1000	0.44	0.115615
1100	0.49	0.144519
1200	0.47	0.173422
1300	0.38	0.144519
1400	0.47	0.173422
1500	0.44	0.202326
1600	0.47	0.23123
1700	0.46	0.260133
1800	0.42	0.23123
1900	0.42	0.202326
2000	0.52	0.23123
2100	0.35	0.202326
2200	0.45	0.23123
2300	0.4	0.202326
2400	0.37	0.173422
2500	0.36	0.144519
2600	0.49	0.173422
2700	0.43	0.144519
2800	0.45	0.173422
2900	0.51	0.202326
3000	0.51	0.23123
3100	0.45	0.260133
3200	0.41	0.23123
3300	0.41	0.202326
3400	0.5	0.23123
3500	0.41	0.202326
3600	0.4	0.173422
3700	0.48	0.202326
3800	0.4	0.173422
3900	0.43	0.144519
4000	0.42	0.115615
4100	0.46	0.144519
4200	0.57	0.173422
4300	0.38	0.144519
4400	0.38	0.115615
4500	0.45	0.144519
4600	0.46	0.173422
4700	0.47	0.202326
4800	0.42	0.173422
4900	0.44	0.202326
5000	0.4	0.173422
5100	0.48	0.202326
5200	0.45	0.23123
5300	0.47	0.260133
5400	0.44	0.289037
5500	0.44	0.317941
5600	0.43	0.289037
5700	0.4	0.260133
5800	0.44	0.289037
5900	0.36	0.260133
6000	0.39	0.23123
6100	0.49	0.260133
6200	0.4	0.23123
6300	0.42	0.202326
6400	0.5	0.23123
6500	0.45	0.260133
6600	0.42	0.23123
6700	0.51	0.260133
6800	0.38	0.23123
6900	0.39	0.202326
7000	0.52	0.23123
7100	0.49	0.260133
7200	0.51	0.289037
7300	0.45	0.317941
7400	0.28	0.289037
7500	0.47	0.317941
7600	0.37	0.289037
7700	0.31	0.260133
7800	0.45	0.289037
7900	0.39	0.260133
8000	0.4	0.23123
8100	0.42	0.202326
8200	0.47	0.23123
8300	0.36	0.202326
8400	0.51	0.23123
8500	0.38	0.202326
8600	0.4	0.173422
8700	0.38	0.144519
8800	0.56	0.173422
8900	0.45	0.202326
9000	0.41	0.173422
9100	0.4	0.144519
9200	0.49	0.173422
9300	0.43	0.144519
9400	0.48	0.173422
9500	0.44	0.202326
9600	0.5	0.23123
9700	0.42	0.202326
9800	0.45	0.23123
9900	0.35	0.202326
10000	0.38	0.173422
10100	0.34	0.144519
10200	0.46	0.173422
10300	0.44	0.202326
10400	0.35	0.173422
10500	0.47	0.202326
10600	0.45	0.23123
10700	0.36	0.202326
10800	0.41	0.173422
10900	0.39	0.144519
11000	0.52	0.173422
11100	0.49	0.202326
11200	0.48	0.23123
11300	0.44	0.260133
11400	0.39	0.23123
11500	0.43	0.202326
11600	0.44	0.23123
11700	0.46	0.260133
11800	0.54	0.289037
11900	0.4	0.260133
12000	0.36	0.23123
12100	0.4	0.202326
12200	0.48	0.23123
12300	0.53	0.260133
12400	0.32	0.23123
12500	0.34	0.202326
12600	0.34	0.173422
12700	0.44	0.202326
12800	0.41	0.173422
12900	0.51	0.202326
13000	0.45	0.23123
13100	0.43	0.202326
13200	0.45	0.23123
13300	0.37	0.202326
13400	0.37	0.173422
13500	0.46	0.202326
13600	0.47	0.23123
13700	0.36	0.202326
13800	0.42	0.173422
13900	0.41	0.144519
14000	0.53	0.173422
14100	0.43	0.144519
14200	0.44	0.173422
14300	0.49	0.202326
14400	0.45	0.23123
14500	0.51	0.260133
14600	0.38	0.23123
14700	0.47	0.260133
14800	0.34	0.23123
14900	0.45	0.260133
15000	0.49	0.289037
15100	0.42	0.260133
15200	0.43	0.23123
15300	0.41	0.202326
15400	0.49	0.23123
15500	0.41	0.202326
15600	0.43	0.173422
15700	0.45	0.202326
15800	0.46	0.23123
15900	0.42	0.202326
16000	0.46	0.23123
16100	0.51	0.260133
16200	0.46	0.289037
16300	0.46	0.317941
16400	0.35	0.289037
16500	0.4	0.260133
16600	0.47	0.289037
16700	0.37	0.260133
16800	0.43	0.23123
16900	0.44	0.260133
17000	0.49	0.289037
17100	0.47	0.317941
17200	0.44	0.346845
17300	0.41	0.317941
17400	0.38	0.289037
17500	0.41	0.260133
17600	0.44	0.289037
17700	0.42	0.260133
17800	0.43	0.23123
17900	0.36	0.202326
18000	0.5	0.23123
18100	0.38	0.202326
18200	0.38	0.173422
18300	0.52	0.202326
18400	0.33	0.173422
18500	0.54	0.202326
18600	0.48	0.23123
18700	0.5	0.260133
18800	0.41	0.23123
18900	0.43	0.202326
19000	0.44	0.23123
19100	0.42	0.202326
19200	0.35	0.173422
19300	0.53	0.202326
19400	0.38	0.173422
19500	0.5	0.202326
19600	0.44	0.23123
19700	0.41	0.202326
19800	0.47	0.23123
19900	0.47	0.260133
20000	0.29	0.23123
20100	0.44	0.260133
20200	0.46	0.289037
20300	0.44	0.317941
20400	0.46	0.346845
20500	0.42	0.317941
20600	0.36	0.289037
20700	0.49	0.317941
20800	0.38	0.289037
20900	0.44	0.317941
21000	0.35	0.289037
21100	0.48	0.317941
21200	0.45	0.346845
21300	0.33	0.317941
21400	0.47	0.346845
21500	0.38	0.317941
21600	0.37	0.289037
21700	0.49	0.317941
21800	0.32	0.289037
21900	0.38	0.260133
22000	0.44	0.289037
22100	0.36	0.260133
22200	0.36	0.23123
22300	0.43	0.202326
22400	0.39	0.173422
22500	0.49	0.202326
22600	0.46	0.23123
22700	0.45	0.260133
22800	0.42	0.23123
22900	0.33	0.202326
23000	0.39	0.173422
23100	0.47	0.202326
23200	0.34	0.173422
23300	0.42	0.144519
23400	0.45	0.173422
23500	0.48	0.202326
23600	0.36	0.173422
23700	0.52	0.202326
23800	0.42	0.173422
23900	0.37	0.144519
24000	0.49	0.173422
24100	0.46	0.202326
24200	0.49	0.23123
24300	0.37	0.202326
24400	0.46	0.23123
24500	0.48	0.260133
24600	0.35	0.23123
24700	0.4	0.202326
24800	0.38	0.173422
24900	0.54	0.202326
25000	0.33	0.173422
25100	0.46	0.202326
25200	0.52	0.23123
25300	0.44	0.260133
25400	0.4	0.23123
25500	0.35	0.202326
25600	0.53	0.23123
25700	0.43	0.202326
25800	0.38	0.173422
25900	0.42	0.144519
26000	0.41	0.115615
26100	0.4	0.0867112
26200	0.47	0.115615
26300	0.48	0.144519
26400	0.4	0.115615
26500	0.5	0.144519
26600	0.42	0.115615
26700	0.41	0.0867112
26800	0.47	0.115615
26900	0.45	0.144519
27000	0.39	0.115615
27100	0.47	0.144519
27200	0.44	0.173422
27300	0.45	0.202326
27400	0.51	0.23123
27500	0.5	0.260133
27600	0.4	0.23123
27700	0.46	0.260133
27800	0.43	0.23123
27900	0.41	0.202326
28000	0.38	0.173422
28100	0.44	0.202326
28200	0.41	0.173422
28300	0.44	0.202326
28400	0.46	0.23123
28500	0.44	0.260133
28600	0.42	0.23123
28700	0.44	0.260133
28800	0.44	0.289037
28900	0.33	0.260133
29000	0.33	0.23123
29100	0.34	0.202326
29200	0.55	0.23123
29300	0.5	0.260133
29400	0.38	0.23123
29500	0.44	0.260133
29600	0.44	0.289037
29700	0.34	0.260133
29800	0.44	0.289037
29900	0.4	0.260133
30000	0.42	0.23123
30100	0.33	0.202326
30200	0.42	0.173422
30300	0.45	0.202326
30400	0.42	0.173422
30500	0.5	0.202326
30600	0.47	0.23123
30700	0.46	0.260133
30800	0.45	0.289037
30900	0.36	0.260133
31000	0.45	0.289037
31100	0.47	0.317941
31200	0.5	0.346845
31300	0.47	0.375748
31400	0.44	0.404652
31500	0.35	0.375748
31600	0.34	0.346845
31700	0.33	0.317941
31800	0.47	0.346845
31900	0.36	0.317941
32000	0.41	0.289037
32100	0.46	0.317941
32200	0.44	0.346845
32300	0.43	0.317941
32400	0.37	0.289037
32500	0.47	0.317941
32600	0.43	0.289037
32700	0.45	0.317941
32800	0.38	0.289037
32900	0.48	0.317941
33000	0.49	0.346845
33100	0.37	0.317941
33200	0.5	0.346845
33300	0.39	0.317941
33400	0.45	0.346845
33500	0.36	0.317941
33600	0.44	0.346845
33700	0.48	0.375748
33800	0.4	0.346845
33900	0.34	0.317941
34000	0.37	0.289037
34100	0.35	0.260133
34200	0.5	0.289037
34300	0.47	0.317941
34400	0.35	0.289037
34500	0.38	0.260133
34600	0.38	0.23123
34700	0.46	0.260133
34800	0.37	0.23123
34900	0.41	0.202326
35000	0.51	0.23123
35100	0.34	0.202326
35200	0.44	0.23123
35300	0.39	0.202326
35400	0.42	0.173422
35500	0.4	0.144519
35600	0.36	0.115615
35700	0.44	0.144519
35800	0.53	0.173422
35900	0.46	0.202326
36000	0.42	0.173422
36100	0.41	0.144519
36200	0.43	0.115615
36300	0.41	0.0867112
36400	0.5	0.115615
36500	0.5	0.144519
36600	0.52	0.173422
36700	0.47	0.202326
36800	0.45	0.23123
36900	0.35	0.202326
37000	0.41	0.173422
37100	0.47	0.202326
37200	0.51	0.23123
37300	0.41	0.202326
37400	0.45	0.23123
37500	0.41	0.202326
37600	0.43	0.173422
37700	0.3	0.144519
37800	0.45	0.173422
37900	0.44	0.202326
38000	0.41	0.173422
38100	0.5	0.202326
38200	0.46	0.23123
38300	0.42	0.202326
38400	0.42	0.173422
38500	0.42	0.144519
38600	0.42	0.115615
38700	0.42	0.0867112
38800	0.49	0.115615
38900	0.54	0.144519
39000	0.45	0.173422
39100	0.37	0.144519
39200	0.49	0.173422
39300	0.52	0.202326
39400	0.55	0.23123
39500	0.43	0.202326
39600	0.37	0.173422
39700	0.43	0.144519
39800	0.48	0.173422
39900	0.41	0.144519
40000	0.47	0.173422
40100	0.48	0.202326
40200	0.42	0.173422
40300	0.37	0.144519
40400	0.54	0.173422
40500	0.46	0.202326
40600	0.46	0.23123
40700	0.45	0.260133
40800	0.49	0.289037
40900	0.41	0.260133
41000	0.43	0.23123
41100	0.41	0.202326
41200	0.46	0.23123
41300	0.39	0.202326
41400	0.49	0.23123
41500	0.37	0.202326
41600	0.49	0.23123
41700	0.43	0.202326
41800	0.46	0.23123
41900	0.44	0.260133
42000	0.41	0.23123
42100	0.37	0.202326
42200	0.5	0.23123
42300	0.55	0.260133
42400	0.47	0.289037
42500	0.44	0.317941
42600	0.45	0.346845
42700	0.37	0.317941
42800	0.41	0.289037
42900	0.37	0.260133
43000	0.46	0.289037
43100	0.36	0.260133
43200	0.52	0.289037
43300	0.5	0.317941
43400	0.4	0.289037
43500	0.33	0.260133
43600	0.4	0.23123
43700	0.52	0.260133
43800	0.47	0.289037
43900	0.39	0.260133
44000	0.4	0.23123
44100	0.4	0.202326
44200	0.45	0.23123
44300	0.42	0.202326
44400	0.41	0.173422
44500	0.5	0.202326
44600	0.34	0.173422
44700	0.45	0.202326
44800	0.51	0.23123
44900	0.34	0.202326
45000	0.49	0.23123
45100	0.49	0.260133
45200	0.42	0.23123
45300	0.45	0.260133
45400	0.44	0.289037
45500	0.42	0.260133
45600	0.33	0.23123
45700	0.41	0.202326
45800	0.44	0.23123
45900	0.39	0.202326
46000	0.43	0.173422
46100	0.42	0.144519
46200	0.35	0.115615
46300	0.48	0.144519
46400	0.45	0.173422
46500	0.49	0.202326
46600	0.36	0.173422
46700	0.45	0.202326
46800	0.4	0.173422
46900	0.55	0.202326
47000	0.46	0.23123
47100	0.34	0.202326
47200	0.42	0.173422
47300	0.38	0.144519
47400	0.43	0.115615
47500	0.5	0.144519
47600	0.42	0.115615
47700	0.51	0.144519
47800	0.38	0.115615
47900	0.48	0.144519
48000	0.46	0.173422
48100	0.43	0.144519
48200	0.46	0.173422
48300	0.53	0.202326
48400	0.46	0.23123
48500	0.44	0.260133
48600	0.46	0.289037
48700	0.42	0.260133
48800	0.39	0.23123
48900	0.34	0.202326
49000	0.48	0.23123
49100	0.41	0.202326
49200	0.41	0.173422
49300	0.36	0.144519
49400	0.51	0.173422
49500	0.51	0.202326
49600	0.43	0.173422
49700	0.43	0.144519
49800	0.46	0.173422
49900	0.47	0.202326
50000	0.43	0.173422
50100	0.48	0.202326
50200	0.46	0.23123
50300	0.41	0.202326
50400	0.5	0.23123
50500	0.5	0.260133
50600	0.38	0.23123
50700	0.48	0.260133
50800	0.46	0.289037
50900	0.46	0.317941
51000	0.41	0.289037
51100	0.46	0.317941
51200	0.43	0.289037
51300	0.34	0.260133
51400	0.45	0.289037
51500	0.44	0.317941
51600	0.42	0.289037
51700	0.41	0.260133
51800	0.3	0.23123
51900	0.41	0.202326
52000	0.44	0.23123
52100	0.47	0.260133
52200	0.47	0.289037
52300	0.49	0.317941
52400	0.41	0.289037
52500	0.43	0.260133
52600	0.42	0.23123
52700	0.39	0.202326
52800	0.39	0.173422
52900	0.42	0.144519
53000	0.37	0.115615
53100	0.36	0.0867112
53200	0.43	0.0578074
53300	0.41	0.0289037
53400	0.41	-3.46945e-17
53500	0.53	0.0289037
53600	0.55	0.0578074
53700	0.48	0.0867112
53800	0.42	0.0578074
53900	0.47	0.0867112
54000	0.55	0.115615
54100	0.41	0.0867112
54200	0.41	0.0578074
54300	0.51	0.0867112
54400	0.51	0.115615
54500	0.49	0.144519
54600	0.48	0.173422
54700	0.46	0.202326
54800	0.48	0.23123
54900	0.42	0.202326
55000	0.46	0.23123
