Sweep	g
1	324
2	324
3	324
4	531.38
5	531.38
6	531.38
7	796.354
8	796.354
9	930.459
10	930.459
11	930.459
12	930.459
13	930.459
14	930.459
15	930.459
16	1154.66
17	1154.66
18	1018.98
19	3113.81
20	1153.25
21	1095.6
22	1095.6
23	906.281
24	906.281
25	906.281
26	906.281
27	467.192
28	467.192
29	1230.41
30	1548.98
31	1726.49
32	1726.49
33	1726.49
34	1726.49
35	3423.32
36	3423.32
37	3423.32
38	3320.98
39	1429.32
40	1429.32
41	1429.32
42	1429.32
43	1429.32
44	1429.32
45	2173.69
46	2173.69
47	2173.69
48	2593.32
49	2593.32
50	1770.7
51	1770.7
52	1770.7
53	927.428
54	1046.33
55	1482.81
56	1482.81
57	1558.72
58	1558.72
59	956.917
60	956.917
61	956.917
62	956.917
63	1699.31
64	1699.31
65	1699.31
66	1699.31
67	727.195
68	727.195
69	727.195
70	733.336
71	1192.69
72	1189.26
73	1189.26
74	1189.26
75	1189.26
76	1189.26
77	1530.23
78	1530.23
79	2728.69
80	2728.69
81	2728.69
82	2728.69
83	1612.17
84	873.723
85	873.723
86	1583.6
87	2004.09
88	1054.03
89	1054.03
90	1444.38
91	1017.61
92	2347.84
93	2077.52
94	1969
95	1969
96	1969
97	1280.22
98	1280.22
99	1280.22
100	1569.7
101	1569.7
102	971.187
103	971.187
104	971.187
105	2204.42
106	1233.05
107	1354.06
108	4596.25
109	1545.92
110	1782.94
111	1782.94
112	1782.94
113	1782.94
114	1782.94
115	1782.94
116	1782.94
117	1782.94
118	1782.94
119	1782.94
120	1782.94
121	1782.94
122	2201.14
123	2201.14
124	2201.14
125	1587.96
126	2475.71
127	1151.96
128	1151.96
129	2020.62
130	2020.62
131	2020.62
132	1354.73
133	590.119
134	1225.97
135	1225.97
136	2481.36
137	2047.63
138	1902.76
139	1902.76
140	3549.25
141	3570.23
142	3570.23
143	5545.9
144	3315.45
145	2478.67
146	2478.67
147	2478.67
148	2028.24
149	2028.24
150	2028.24
151	2028.24
152	1052.28
153	1052.28
154	1052.28
155	2369.89
156	1602.54
157	1499.3
158	1499.3
159	1499.3
160	1499.3
161	1512.53
162	1512.53
163	1512.53
164	634.195
165	634.195
166	634.195
167	572.85
168	604.272
169	771.598
170	798.159
171	2073.2
172	2056.62
173	2538.85
174	2538.85
175	2538.85
176	2538.85
177	2677.6
178	2677.6
179	2677.6
180	2677.6
181	1573.83
182	1401.11
183	2237.88
184	2237.88
185	2237.88
186	2237.88
187	2237.88
188	767.839
189	2236.79
190	2236.79
191	829.491
192	829.491
193	829.491
194	2613.52
195	2613.52
196	1876.2
197	1276.31
198	1276.31
199	872.438
200	1098.43
201	2669.61
202	2669.61
203	4677.33
204	4677.33
205	5566.66
206	5566.66
207	5566.66
208	5369.53
209	5369.53
210	3126.36
211	3126.36
212	2296.59
213	2296.59
214	1042.59
215	3372.95
216	1934.14
217	1880.9
218	1529.98
219	1529.98
220	1529.98
221	1211.92
222	1761.84
223	1957.31
224	1957.31
225	822.488
226	662.535
227	683.594
228	683.594
229	838.571
230	838.571
231	838.571
232	1684.32
233	1684.32
234	1684.32
235	612.256
236	612.256
237	686.858
238	686.858
239	686.858
240	4449.64
241	4449.64
242	4449.64
243	5577.82
244	5577.82
245	4274.28
246	4290.74
247	4290.74
248	4290.74
249	4072.27
250	7494.17
251	7494.17
252	7762.44
253	7762.44
254	7762.44
255	7762.44
256	7762.44
257	7762.44
258	7834.42
259	2228.74
260	2228.74
261	1252.07
262	1252.07
263	1252.07
264	1252.07
265	1751.4
266	1751.4
267	2167.85
268	2167.85
269	2167.85
270	744.518
271	744.518
272	1438.17
273	767.006
274	684.463
275	684.463
276	2501.99
277	3478.39
278	3478.39
279	3478.39
280	2800.19
281	2800.19
282	2800.19
283	2057.43
284	2057.43
285	2678.72
286	935.798
287	1565.54
288	1565.54
289	1565.54
290	1815.6
291	1233.24
292	1115.31
293	991.575
294	991.575
295	991.575
296	1209.32
297	1693.2
298	803.801
299	803.801
300	896.578
301	888.515
302	597.746
303	597.746
304	597.746
305	597.746
306	597.746
307	884.297
308	1895.81
309	1031.06
310	846.877
311	1056.46
312	1056.46
313	3558.24
314	3698.29
315	3698.29
316	1262.93
317	1262.93
318	1262.93
319	1262.93
320	1154.64
321	1154.64
322	1556.81
323	1525.21
324	1832.92
325	1832.92
326	1560.54
327	1560.54
328	1251.88
329	2968.22
330	2409.52
331	605.496
332	605.496
333	605.496
334	605.496
335	605.496
336	605.496
337	1074.11
338	1074.11
339	1408.31
340	1408.31
341	1408.31
342	1483.22
343	1483.22
344	5896.94
345	5896.94
346	5896.94
347	5896.94
348	5896.94
349	1577.03
350	1417.89
351	1417.89
352	1417.89
353	1786.3
354	1450.12
355	1450.12
356	1450.12
357	756.254
358	756.254
359	756.254
360	756.254
361	998.014
362	1240.19
363	1240.19
364	1889.27
365	1889.27
366	1889.27
367	2035.41
368	2035.41
369	1730.9
370	1730.9
371	1847.93
372	855.912
373	855.912
374	855.912
375	1400.64
376	1400.64
377	1400.64
378	1400.64
379	1400.64
380	1400.64
381	1400.64
382	1400.64
383	897.583
384	1024.13
385	1024.13
386	1024.13
387	1037.52
388	1037.52
389	1037.52
390	1311.07
391	1311.07
392	1311.07
393	1311.07
394	1311.07
395	614.993
396	614.993
397	626.569
398	626.569
399	626.569
400	1367.73
401	1586.27
402	2845.9
403	2845.9
404	1168.53
405	1168.53
406	1079.09
407	1079.09
408	1079.09
409	2509.02
410	3155.01
411	1858.75
412	2375.32
413	1892.88
414	2072.58
415	2003.89
416	1370.82
417	1370.82
418	1824.17
419	1824.17
420	1674.44
421	1674.44
422	1674.44
423	924.948
424	924.948
425	1204.49
426	1204.49
427	1588.83
428	1438.27
429	1438.27
430	1438.27
431	1438.27
432	845.261
433	845.261
434	934.699
435	1206.15
436	1584.45
437	834.26
438	2710.59
439	2710.59
440	2710.59
441	2710.59
442	2710.59
443	3200.54
444	3200.54
445	3221.53
446	1716.09
447	2033.57
448	2033.57
449	2033.57
450	2033.57
451	827.771
452	827.771
453	827.771
454	827.771
455	807.534
456	1016.08
457	1016.08
458	1016.08
459	1016.08
460	1016.08
461	2705.79
462	4962.61
463	2809.6
464	2094.07
465	2574.37
466	1108.04
467	1108.04
468	1108.04
469	1108.04
470	1108.04
471	1809.21
472	1809.21
473	1809.21
474	1809.21
475	1809.21
476	1226.71
477	1226.71
478	1226.71
479	1226.71
480	1226.71
481	1226.71
482	1226.71
483	2371.39
484	2371.39
485	2371.39
486	1466.69
487	1466.69
488	1466.69
489	1818
490	1818
491	1551.46
492	1551.46
493	771.105
494	771.105
495	1870.83
496	1870.83
497	1901.78
498	1901.78
499	1901.78
500	1901.78
501	1837.15
502	1837.15
503	640.414
504	1872.37
505	971.211
506	1011.38
507	1526.79
508	1526.79
509	1526.79
510	1526.79
511	1526.79
512	1526.79
513	1526.79
514	2783.13
515	2783.13
516	1136.84
517	1136.84
518	1136.84
519	1136.84
520	1136.84
521	1721.87
522	889.497
523	889.497
524	889.497
525	2341.83
526	1440.36
527	1260.52
528	3127.03
529	1211.24
530	1211.24
531	1538.7
532	1538.7
533	3020.69
534	3020.69
535	3020.69
536	3020.69
537	3848.32
538	2012.95
539	1532.54
540	1532.54
541	1356.87
542	1689.36
543	1689.36
544	1689.36
545	750.562
546	1370.89
547	1370.89
548	1370.89
549	2004.46
550	1725.67
551	1725.67
552	4080.53
553	4080.53
554	4080.53
555	634.807
556	637.401
557	3404.06
558	3404.06
559	3404.06
560	3404.06
561	2652.87
562	1995.59
563	1995.59
564	1995.59
565	2161.13
566	2161.13
567	2839.12
568	2839.12
569	2270.18
570	2270.18
571	2080.23
572	2080.23
573	1408.29
574	1055.21
575	4228.58
576	4228.58
577	1582.11
578	1582.11
579	1228.76
580	1228.76
581	1228.76
582	1228.76
583	1228.76
584	1228.76
585	1228.76
586	1318.12
587	1318.12
588	1318.12
589	1318.12
590	1318.12
591	736.398
592	1061.67
593	1061.67
594	1061.67
595	1061.67
596	1061.67
597	1061.67
598	1061.67
599	900.514
600	828.202
601	2011.45
602	2011.45
603	1462.31
604	4167.74
605	4104.76
606	4104.76
607	4104.76
608	1497.33
609	1359.12
610	1359.12
611	1600.6
612	1492.7
613	2040.33
614	2040.33
615	2040.33
616	2040.33
617	1998
618	918.869
619	918.869
620	918.869
621	918.869
622	918.869
623	1115.87
624	988.302
625	1461.52
626	2122.2
627	2122.2
628	1312.09
629	1312.09
630	1312.09
631	1281.91
632	1281.91
633	1281.91
634	1281.91
635	1281.91
636	1281.91
637	920.114
638	696.972
639	696.972
640	696.972
641	696.972
642	696.972
643	1161.72
644	1161.72
645	1161.72
646	1198.67
647	1198.67
648	707.784
649	707.784
650	707.784
651	707.784
652	844.346
653	844.346
654	2145.67
655	2145.67
656	2145.67
657	1658.34
658	1673.81
659	3424.68
660	2554.35
661	2723.03
662	2484.34
663	844.916
664	1043.6
665	769.43
666	733.657
667	1788.94
668	1972.36
669	1972.36
670	1464.67
671	1464.67
672	1464.67
673	2741.8
674	4481.65
675	4481.65
676	1174.37
677	2652.73
678	1689.51
679	1593.44
680	1593.44
681	1125.36
682	602.495
683	602.495
684	602.495
685	602.495
686	602.495
687	1879.16
688	1879.16
689	1862.84
690	1862.84
691	1330.79
692	1232.31
693	2282.13
694	2282.13
695	2282.13
696	1092.53
697	1092.53
698	1092.53
699	2453.67
700	1188.7
701	1188.7
702	1188.7
703	1188.7
704	1331.99
705	1331.99
706	2716.02
707	3300.68
708	1381.36
709	1173.07
710	2779.29
711	2779.29
712	2779.29
713	2779.29
714	2779.29
715	2779.29
716	2824.85
717	2824.85
718	1717.82
719	1717.82
720	2016.5
721	751.482
722	751.482
723	751.482
724	751.482
725	751.482
726	751.482
727	751.482
728	751.482
729	786.404
730	1196.61
731	1157.51
732	1157.51
733	995.327
734	1295.55
735	1295.55
736	1295.55
737	1295.55
738	1295.55
739	1295.55
740	904.447
741	904.447
742	1299.27
743	1299.27
744	1200.97
745	3278.99
746	1520.79
747	1237.61
748	1237.61
749	1237.61
750	1237.61
751	3594.67
752	3594.67
753	861.868
754	759.751
755	759.751
756	759.751
757	2211.88
758	2264.71
759	2264.71
760	2264.71
761	1900.71
762	1900.71
763	2956.46
764	2935.96
765	2935.96
766	863.7
767	2622.16
768	1611.82
769	1116.92
770	1116.92
771	1116.92
772	1116.92
773	1116.92
774	1116.92
775	1116.92
776	2187.97
