Sweep	n_0->1	n_1->0
1000	0	0
2000	1	1
3000	0	0
4000	1	0
5000	0	0
6000	0	0
7000	0	0
8000	0	0
9000	0	0
10000	0	0
11000	0	0
12000	0	0
13000	0	0
14000	0	0
15000	0	0
16000	0	0
17000	0	0
18000	0	0
19000	0	0
20000	0	0
21000	1	1
22000	0	0
23000	0	0
24000	0	0
25000	0	1
26000	0	0
27000	0	0
28000	0	0
29000	0	0
30000	0	0
31000	0	0
32000	0	0
33000	0	0
34000	0	0
35000	0	0
36000	0	0
37000	0	0
38000	0	1
39000	0	0
40000	0	0
41000	0	0
42000	0	0
43000	0	0
44000	0	0
45000	0	0
46000	0	0
47000	0	0
48000	0	0
49000	0	0
50000	0	0
51000	0	1
52000	0	0
53000	0	0
54000	0	0
55000	1	0
