Sweep	Chain_1	Chain_2	Chain_3	
1	-21929.92603639	-21929.92603639	-21929.92603639	
2	-21929.92603639	-21929.92603639	-21942.26796183	
3	-21929.92603639	-21929.92603639	-21942.26796183	
4	-21929.92603639	-21929.92603639	-21942.26796183	
5	-21929.31199188	-21929.31199188	-21942.07933517	
6	-21929.31199188	-21929.31199188	-21929.31199188	
7	-21931.09936063	-21931.09936063	-21931.09936063	
8	-21931.09936063	-21931.09936063	-21931.09936063	
9	-21931.09936063	-21931.09936063	-21931.09936063	
10	-21929.86490011	-21929.86490011	-21929.86490011	
11	-21929.2379506	-21929.2379506	-21929.2379506	
12	-21929.24841463	-21929.24841463	-21934.58387357	
13	-21929.24841463	-21929.24841463	-21934.58387357	
14	-21929.24841463	-21929.24841463	-21934.38935604	
15	-21929.45900412	-21929.45900412	-21929.45900412	
16	-21929.45900412	-21934.9402478	-21929.45900412	
17	-21929.76308122	-21929.76308122	-21929.76308122	
18	-21929.76308122	-21929.76308122	-21929.76308122	
19	-21930.08804897	-21930.08804897	-21930.08804897	
20	-21930.70908888	-21930.70908888	-21930.70908888	
21	-21929.38504286	-21929.38504286	-21934.86443647	
22	-21929.38504286	-21934.82587686	-21934.40420636	
23	-21934.40420636	-21934.77741959	-21934.82233042	
24	-21929.28721478	-21929.28721478	-21934.61163903	
25	-21929.28721478	-21934.68818819	-21934.58753414	
26	-21929.52992406	-21929.52992406	-21932.29391274	
27	-21929.35416079	-21929.35416079	-21932.11642628	
28	-21929.62014503	-21929.62014503	-21943.32596241	
29	-21929.62014503	-21929.62014503	-21943.32596241	
30	-21929.90533734	-21932.66968345	-21935.60651583	
31	-21929.90533734	-21932.66968345	-21935.51726186	
32	-21929.90533734	-21932.66968345	-21935.51726186	
33	-21930.36254172	-21933.12714227	-21936.12113557	
34	-21929.53635736	-21934.99872124	-21932.30035449	
35	-21929.53635736	-21935.05728431	-21935.87012781	
36	-21935.24049839	-21929.33676939	-21934.42123128	
37	-21929.33676939	-21930.15445136	-21939.39176562	
38	-21930.39377322	-21931.21213138	-21941.86370735	
39	-21931.21213138	-21941.86370735	-21930.39377322	
40	-21930.17266204	-21940.00465563	-21929.35457948	
41	-21929.31137711	-21930.12942469	-21939.89286551	
42	-21929.52047516	-21930.33864436	-21935.06431879	
43	-21929.52047516	-21930.33864436	-21929.52047516	
44	-21929.52047516	-21941.14516307	-21939.83354997	
45	-21933.51890589	-21929.23661361	-21934.76792282	
46	-21933.51890589	-21929.23661361	-21944.15784525	
47	-21929.23661361	-21933.51890589	-21944.15784525	
