Sweep	Chain_1	Chain_2	Chain_3	
1	3	3	3	
2	2	2	2	
3	2	2	2	
4	2	2	2	
5	2	2	2	
6	2	2	2	
7	2	2	2	
8	2	2	2	
9	2	2	2	
10	2	2	3	
11	2	2	3	
12	2	4	2	
13	2	4	2	
14	2	3	3	
15	2	4	3	
16	2	2	4	
17	2	4	2	
18	2	4	2	
19	2	4	2	
20	2	2	3	
21	2	3	2	
22	2	3	2	
23	2	2	3	
24	2	2	5	
25	2	3	3	
26	2	2	6	
27	2	2	6	
28	2	3	4	
29	3	2	4	
30	2	3	4	
31	2	3	4	
32	2	3	4	
33	2	3	4	
34	2	2	6	
35	2	2	6	
36	2	2	6	
37	2	2	6	
38	2	2	4	
39	2	2	4	
40	2	3	3	
41	2	3	3	
42	2	3	3	
43	2	2	3	
44	2	2	3	
45	2	3	2	
46	2	3	2	
47	2	3	2	
48	2	3	2	
49	2	3	2	
50	2	2	3	
51	2	3	4	
52	2	2	4	
53	2	2	4	
54	2	2	4	
55	2	2	4	
56	2	4	2	
57	2	2	4	
58	3	2	4	
59	2	3	3	
60	3	3	2	
61	3	2	3	
62	2	3	3	
63	2	4	2	
64	2	4	3	
65	3	2	5	
66	2	3	3	
67	3	2	3	
68	3	4	3	
69	2	3	4	
70	2	3	5	
71	3	2	6	
72	3	2	6	
73	3	5	3	
74	2	6	2	
75	2	2	6	
76	2	2	6	
77	2	2	6	
78	2	2	5	
79	2	3	3	
80	2	3	3	
81	3	2	4	
82	2	4	3	
83	4	2	3	
84	3	3	4	
85	3	3	4	
86	2	2	3	
87	2	3	2	
88	2	3	2	
89	2	3	2	
90	2	2	3	
91	2	5	5	
92	3	3	3	
93	2	2	3	
94	2	4	6	
95	2	6	4	
96	2	4	6	
97	2	2	5	
98	3	3	6	
99	3	3	6	
100	3	3	5	
101	3	3	5	
102	2	3	7	
103	3	2	3	
104	3	2	3	
105	3	3	2	
106	3	3	2	
107	3	3	2	
108	3	2	3	
109	3	3	2	
110	2	2	2	
111	2	2	5	
112	2	2	5	
113	2	3	4	
114	2	3	4	
115	2	2	7	
116	2	4	4	
117	2	4	4	
118	3	3	3	
119	3	2	4	
120	2	3	4	
121	2	3	4	
122	3	2	4	
123	2	3	3	
124	2	3	2	
125	3	3	3	
126	3	3	3	
127	3	3	3	
128	2	2	5	
129	2	4	3	
130	2	2	6	
131	2	2	6	
132	2	2	4	
133	3	4	4	
134	3	4	4	
135	3	4	4	
136	2	2	3	
137	2	3	2	
138	2	2	2	
139	2	2	2	
140	2	2	3	
141	2	2	3	
142	2	2	3	
143	2	2	3	
144	2	2	3	
145	2	2	3	
146	2	2	5	
147	2	2	2	
148	2	2	3	
149	2	3	3	
150	2	3	2	
151	2	4	4	
152	2	4	4	
153	2	3	2	
154	3	2	2	
155	2	2	3	
156	2	2	4	
157	2	3	2	
158	2	2	3	
159	2	2	3	
160	2	2	3	
161	2	3	2	
162	2	2	3	
163	2	2	3	
164	2	3	8	
165	2	3	8	
166	3	2	4	
167	2	3	2	
168	2	2	3	
169	2	2	4	
170	2	2	4	
171	2	3	3	
172	2	3	3	
173	3	2	3	
174	2	3	3	
175	2	3	3	
176	3	3	5	
177	3	3	5	
178	3	3	5	
179	2	3	3	
180	2	3	3	
181	2	2	4	
182	2	2	5	
183	2	2	5	
184	3	3	3	
185	3	3	3	
186	3	3	3	
187	3	3	3	
188	2	2	3	
189	3	2	3	
190	2	2	3	
191	2	2	3	
192	2	3	2	
193	2	2	5	
194	2	2	5	
195	2	2	4	
196	2	2	4	
197	2	2	4	
198	2	3	5	
199	2	3	5	
200	2	3	5	
201	2	2	3	
202	2	1	3	
203	2	1	3	
204	2	2	1	
205	2	1	2	
206	2	1	2	
207	2	2	1	
208	2	2	1	
209	2	2	1	
210	2	2	1	
211	2	2	3	
212	2	2	3	
213	2	2	3	
214	2	3	2	
215	2	2	5	
216	2	2	4	
217	2	2	2	
218	2	2	4	
219	2	3	3	
220	2	2	5	
221	2	2	5	
222	2	2	5	
223	2	2	5	
224	2	2	3	
225	3	2	4	
226	2	3	4	
227	2	3	5	
228	2	2	3	
229	2	4	2	
230	2	4	3	
231	2	3	4	
232	2	4	3	
233	2	3	3	
234	3	3	2	
235	2	3	3	
236	2	3	3	
237	2	3	3	
238	2	3	3	
239	3	3	5	
240	2	4	3	
241	2	3	4	
242	3	3	3	
243	2	2	3	
244	2	2	3	
245	2	2	3	
246	2	2	3	
247	2	2	3	
248	2	2	3	
249	2	2	4	
250	2	2	4	
251	2	2	4	
252	2	2	4	
253	2	2	3	
254	2	2	3	
255	2	2	3	
256	2	2	3	
257	2	2	2	
258	2	2	2	
259	2	2	2	
260	2	2	2	
261	2	2	2	
262	2	3	4	
263	2	4	3	
264	2	4	5	
265	2	2	3	
266	2	3	2	
267	2	2	3	
268	3	2	2	
269	2	3	2	
270	3	2	4	
271	3	2	4	
272	3	2	4	
273	2	2	2	
274	3	3	3	
275	2	4	6	
276	2	4	4	
277	2	4	4	
278	2	2	3	
279	2	2	3	
280	3	2	4	
281	2	4	3	
282	2	3	4	
283	2	3	4	
284	2	4	3	
285	2	2	6	
286	2	2	4	
287	2	2	4	
288	2	2	4	
289	2	3	7	
290	2	3	7	
291	2	3	7	
292	2	2	8	
293	2	2	8	
294	2	3	4	
295	2	3	4	
296	2	3	4	
297	3	2	4	
298	2	3	4	
299	3	2	4	
300	3	3	2	
301	3	3	2	
302	2	3	3	
303	2	3	3	
304	2	2	5	
305	2	2	5	
306	2	2	4	
307	2	2	4	
308	2	3	4	
309	2	2	3	
310	2	2	3	
311	2	3	5	
312	3	2	5	
313	2	2	3	
314	2	2	2	
315	3	3	2	
316	2	3	5	
317	2	3	5	
318	3	2	3	
319	2	3	3	
320	3	2	3	
321	2	4	4	
322	2	4	4	
323	2	4	4	
324	2	3	4	
325	2	4	3	
326	2	2	5	
327	2	2	5	
328	2	2	5	
329	2	2	4	
330	3	3	8	
331	3	3	8	
332	2	4	5	
333	2	4	5	
334	2	4	5	
335	2	4	5	
336	2	4	5	
337	2	4	5	
338	2	3	3	
339	2	3	3	
340	2	3	3	
341	2	3	4	
342	2	2	2	
343	2	2	2	
344	2	2	4	
345	2	2	4	
346	2	2	4	
347	2	2	3	
348	2	2	3	
349	2	2	3	
350	2	2	3	
351	2	2	3	
352	2	2	3	
353	2	2	3	
354	2	2	3	
355	2	2	3	
356	2	3	3	
357	2	3	3	
358	2	4	3	
359	3	4	4	
360	3	4	4	
361	3	4	4	
362	2	4	4	
363	2	4	4	
364	2	2	3	
365	3	2	2	
366	2	3	2	
367	2	3	3	
368	4	2	2	
369	2	2	2	
370	2	2	4	
371	2	2	4	
372	2	3	3	
373	3	2	3	
374	2	3	4	
375	2	3	3	
376	3	3	2	
377	3	2	3	
378	2	3	2	
379	3	3	5	
380	3	3	2	
381	3	3	2	
382	3	2	3	
383	2	3	3	
384	3	3	5	
385	3	3	5	
386	2	2	6	
387	2	2	6	
388	2	2	6	
389	2	3	5	
390	4	5	5	
391	3	2	4	
392	2	3	3	
393	3	3	4	
394	2	2	3	
395	2	4	3	
396	2	3	4	
397	3	2	3	
398	2	3	3	
399	2	2	5	
400	2	2	4	
401	2	2	5	
402	3	2	3	
403	2	3	3	
404	2	4	3	
405	2	4	3	
406	2	3	5	
407	2	3	5	
408	2	5	3	
409	2	2	4	
410	2	4	2	
411	2	2	4	
412	2	2	4	
413	2	2	4	
414	2	2	6	
415	2	3	4	
416	2	3	4	
417	2	2	2	
418	2	2	2	
419	2	3	5	
420	2	2	4	
421	2	2	4	
422	2	2	7	
