Sweep	Chain_1	Chain_2	Chain_3	
55	1	1.41421	2	
107	1	1.41912	2.01391	
159	1	1.42405	2.02792	
213	1	1.42899	2.04202	
267	1	1.43396	2.05623	
326	1	1.43893	2.07053	
382	1	1.44393	2.08493	
436	1	1.44894	2.09943	
492	1	1.45397	2.11404	
546	1	1.45902	2.12874	
601	1	1.46409	2.14355	
654	1	1.46917	2.15846	
707	1	1.47427	2.17347	
761	1	1.47939	2.18859	
813	1	1.48452	2.20381	
865	1	1.48968	2.21914	
916	1	1.49485	2.23457	
975	1	1.50004	2.25012	
1032	1	1.50525	2.26577	
1087	1	1.51047	2.28153	
1139	1	1.51572	2.2974	
1191	1	1.52098	2.31338	
1241	1	1.52626	2.32947	
1295	1	1.53156	2.34567	
1345	1	1.53688	2.36199	
1399	1	1.54221	2.37841	
1453	1	1.54756	2.39496	
1504	1	1.55294	2.41162	
1555	1	1.55833	2.42839	
1611	1	1.56374	2.44528	
1664	1	1.56917	2.46229	
1715	1	1.57462	2.47942	
1773	1	1.58008	2.49666	
1828	1	1.58557	2.51403	
1883	1	1.59107	2.53151	
1933	1	1.5966	2.54912	
1983	1	1.60214	2.56685	
2033	1	1.6077	2.58471	
2088	1	1.61328	2.60268	
2138	1	1.61888	2.62079	
2192	1	1.6245	2.63902	
2244	1	1.63014	2.65737	
2295	1	1.6358	2.67586	
2347	1	1.64148	2.69447	
2399	1	1.64718	2.71321	
2449	1	1.6529	2.73208	
2500	1	1.65864	2.75108	
2555	1	1.6644	2.77022	
2609	1	1.67018	2.78949	
2659	1	1.67597	2.80889	
2712	1	1.68179	2.82843	
2763	1	1.68763	2.8481	
2813	1	1.69349	2.86791	
2863	1	1.69937	2.88786	
2916	1	1.70527	2.90795	
2966	1	1.71119	2.92817	
3018	1	1.71713	2.94854	
3070	1	1.72309	2.96905	
3121	1	1.72907	2.9897	
3173	1	1.73508	3.01049	
3223	1	1.7411	3.03143	
3274	1	1.74715	3.05252	
3325	1	1.75321	3.07375	
3376	1	1.7593	3.09513	
3426	1	1.76541	3.11666	
3476	1	1.77154	3.13834	
3527	1	1.77769	3.16017	
3577	1	1.78386	3.18215	
3627	1	1.79005	3.20428	
3680	1	1.79626	3.22657	
3731	1	1.8025	3.24901	
3781	1	1.80876	3.27161	
3832	1	1.81504	3.29436	
3882	1	1.82134	3.31728	
3933	1	1.82766	3.34035	
3985	1	1.82134	3.31728	
4037	1	1.82766	3.34035	
4087	1	1.83401	3.36359	
4137	1	1.84038	3.38698	
4187	1	1.84676	3.41054	
4239	1	1.85318	3.43426	
4290	1	1.85961	3.45815	
4340	1	1.86607	3.4822	
4390	1	1.87254	3.50642	
4440	1	1.87905	3.53081	
4491	1	1.88557	3.55537	
4541	1	1.89212	3.5801	
4592	1	1.89868	3.605	
4642	1	1.90528	3.63008	
4692	1	1.91189	3.65533	
4742	1	1.91853	3.68075	
4792	1	1.92519	3.70635	
4842	1	1.93187	3.73213	
4894	1	1.93858	3.75809	
4944	1	1.94531	3.78423	
4996	1	1.95206	3.81055	
